run	log_tbg	log_alphap	log_betap	b3G3_log_P	b3G3_weight	b8A2_log_P	b8A2_weight	b8A3_log_P	b8A3_weight	b8A4_log_P	b8A4_weight	b8A5_log_P	b8A5_weight	b8A6_log_P	b8A6_weight	b8A7_log_P	b8A7_weight	b8A8_log_P	b8A8_weight	b8A9_log_P	b8A9_weight	b8B1_log_P	b8B1_weight	b8B2_log_P	b8B2_weight	b8B3_log_P	b8B3_weight	b8B5_log_P	b8B5_weight	b8B6_log_P	b8B6_weight	b8B7_log_P	b8B7_weight	b8B8_log_P	b8B8_weight	b8B9_log_P	b8B9_weight	b8C1_log_P	b8C1_weight	b8C2_log_P	b8C2_weight	b8C3_log_P	b8C3_weight	b8C6_log_P	b8C6_weight	b8C7_log_P	b8C7_weight	b18H6_log_P	b18H6_weight	b18H7_log_P	b18H7_weight	b18H9_log_P	b18H9_weight	b18I4_log_P	b18I4_weight	b18I6_log_P	b18I6_weight	b18I7_log_P	b18I7_weight	b19A3_log_P	b19A3_weight	b19A4_log_P	b19A4_weight	b19A5_log_P	b19A5_weight	b19A8_log_P	b19A8_weight
samp_78	-5.605735396351183	2.587789411605996	-0.12560166108558518	-4.621028036396571	3.0	-5.705233550503331	1.0		0.0	-6.615590146659234	2.0	-5.760833276194605	1.0	-1.4147383912697966	2.0		0.0	-9.636042331097745	1.0		0.0	-9.97702547214586	1.0	-8.949094794671732	2.0	-9.796143613512156	1.0	-11.591870759320257	1.0		0.0		0.0		0.0		0.0		0.0	-6.55314073980067	1.0	-5.41448887099681	1.0	-5.6706513606085895	1.0	-5.226968238018218	1.0	-5.213880607189561	2.0	-4.875388631966615	2.0	-0.5725306279874752	2.0		0.0	-2.3472890899745638	1.0	-5.4299760075333845	1.0	-5.30376297392927	3.0	-8.600352009679018	1.0	-1.9035947307276895	1.0		0.0
samp_79	-6.168132692589441	2.6556626018008886	-0.21639658167369613	-4.599000715008512	2.0	-5.676269907090552	1.0	-9.304345727530963	1.0	-6.559801518300891	1.0	-5.730363677732644	3.0		0.0	-10.185084874349863	1.0	-9.281498881840928	1.0	-10.294103332613837	2.0	-9.626656122864597	1.0	-8.73625893805355	2.0		0.0	-10.792691840921677	1.0	-4.89974255761462	1.0	-4.816008802030271	3.0		0.0	-5.514028359787748	1.0		0.0		0.0	-5.388204093600388	3.0	-5.640517122691955	1.0	-5.201966962447618	1.0		0.0		0.0	-0.5524743224396989	1.0		0.0		0.0	-5.4023664460944225	1.0		0.0		0.0	-1.8722324075008605	2.0	-3.901666766271805	2.0
samp_80	-5.955163185810752	2.603914638090344	-0.12005702197454314		0.0	-5.705545097452964	1.0		0.0		0.0		0.0	-1.4172275126820877	3.0	-10.390611717424916	1.0	-9.445159917686597	1.0	-10.423633870095365	1.0	-9.784834457612503	1.0	-8.841109674759439	1.0		0.0		0.0		0.0	-4.843954020871891	1.0	-5.577144132417909	1.0	-5.542760340181859	3.0	-4.922358669028154	1.0		0.0	-5.416722026439014	2.0	-5.67031595751964	1.0	-5.230193607559592	1.0	-5.217673659502661	1.0	-4.880408819801423	2.0	-0.5746323461870521	3.0	-5.4003729809918	2.0	-2.351875992409574	1.0	-5.431444602948106	1.0	-5.306147285716134	1.0		0.0	-1.9063797179915656	1.0	-3.9306661182190457	1.0
samp_81	-6.157363701377963	2.617399279149353	-0.15617530204340202	-4.6125726640506945	2.0	-5.688701420085482	2.0	-9.328098975097543	1.0		0.0	-5.74286534490723	2.0	-1.4058942774906726	2.0	-10.215846357484349	1.0	-9.308736136010575	1.0	-10.315305087520878	2.0		0.0		0.0	-9.454605106458596	1.0	-10.823693918886095	1.0		0.0		0.0		0.0	-5.526523126873067	1.0		0.0	-6.515878078347413	2.0		0.0	-5.653119362832307	1.0	-5.214764136783939	3.0	-5.202577730246757	1.0	-4.86583713087567	3.0		0.0		0.0	-2.3386197974155554	2.0	-5.415133709928607	2.0	-5.290276881128424	1.0		0.0		0.0	-3.9167993883596686	1.0
samp_82	-6.026201397358329	2.577706250172239	-0.14058193444250708	-4.603815858058554	1.0		0.0		0.0	-6.568069350764366	2.0	-5.734315098538154	1.0		0.0	-10.286914931424548	1.0		0.0	-10.354373338677394	1.0	-9.700637820902793	2.0		0.0		0.0	-10.923670400799596	1.0	-4.903881519014119	2.0	-4.820434218887082	2.0	-5.551955346743782	1.0	-5.5175889995088445	2.0		0.0	-6.510131994318021	2.0	-5.391844199243423	1.0	-5.644597667087067	2.0		0.0	-5.19337341520714	1.0	-4.856830757667943	1.0	-0.5674165910475412	2.0	-5.375383428634902	1.0	-2.338013611102635	1.0		0.0		0.0	-8.441369446067123	1.0	-1.8959671822606097	2.0	-3.909510049080829	2.0
samp_83	-6.174571306603765	2.502947936645469	-0.09429254925306751	-4.59221478989853	5.0	-5.6634024840974995	1.0		0.0	-6.544432930725468	2.0	-5.717424376573238	5.0		0.0	-10.1485449600091	1.0	-9.248819134709489	3.0	-10.268295264904575	3.0		0.0		0.0	-9.393194297446136	1.0	-10.756919091383821	1.0		0.0		0.0	-5.536064866819442	1.0	-5.501776919127522	2.0	-4.885643825792571	2.0		0.0		0.0		0.0		0.0		0.0		0.0	-0.5759082772453702	1.0		0.0		0.0	-5.391013375834853	1.0		0.0	-8.378743911395716	1.0	-1.908386776819468	1.0	-3.9019256402323332	1.0
samp_84	-5.534766876189374	2.658519251704231	-0.17101660649306666		0.0	-5.719901412569666	1.0		0.0		0.0	-5.775834706321449	1.0		0.0		0.0		0.0		0.0	-10.0501752876961	1.0	-8.997590018418517	2.0	-9.871075645508524	1.0		0.0	-4.934104275861557	3.0	-4.8498306935427244	3.0	-5.5895932450176415	1.0		0.0	-4.9287545387327185	1.0		0.0	-5.427919520111915	2.0	-5.685316870682477	1.0		0.0		0.0	-4.886458339800012	2.0	-0.5647812394977039	2.0	-5.412202008673247	2.0	-2.34116775181127	1.0	-5.443522811118511	1.0	-5.316717299929385	2.0	-8.647411324981658	2.0	-1.891010111495311	2.0	-3.9296986238361833	1.0
samp_85	-5.823637688805404	2.6407915406745404	-0.1549044638801087	-4.627092808836897	2.0	-5.709503759524599	1.0	-9.497824587308092	1.0	-6.609369762793068	1.0	-5.764503572873174	2.0		0.0		0.0		0.0	-10.495904418277313	1.0	-9.862240928632287	1.0		0.0	-9.678105914811269	3.0	-11.212270264080681	1.0	-4.9288370473131895	2.0	-4.844944180931914	1.0	-5.580536663892662	2.0	-5.546100487060713	2.0	-4.923601270371565	2.0	-6.54923340593308	1.0	-5.419636908114512	2.0		0.0	-5.232475906724795	2.0		0.0		0.0	-0.5675206536488316	1.0		0.0		0.0		0.0	-5.308762901090535	2.0	-8.543586132490383	1.0	-1.8954208055551183	1.0		0.0
samp_86	-5.641160291866723	2.573383952649208	-0.11648342942080359	-4.618636849633195	2.0	-5.701469748866377	2.0		0.0		0.0		0.0		0.0	-10.655230861546984	1.0	-9.608022825878388	3.0	-10.596752553092589	1.0	-9.948353078816934	1.0	-8.931349065903275	2.0	-9.766793532132574	2.0		0.0		0.0	-4.836351057498392	1.0		0.0		0.0	-4.914736097023552	3.0		0.0		0.0		0.0	-5.223827427420581	2.0		0.0	-4.872686940865293	2.0	-0.5741673691822249	3.0	-5.395379284567977	2.0	-2.3484154872379883	1.0	-5.426520265600913	1.0	-5.300491518953377	1.0		0.0	-1.9060852321130017	2.0		0.0
samp_87	-5.7973837390141885	2.5421158046213277	-0.10063620843385135		0.0	-5.6889514906271375	2.0		0.0	-6.587330932655564	1.0	-5.74390960301494	1.0	-1.419945811340205	1.0	-10.481876992209724	1.0	-9.495816531383092	2.0	-10.479151285278768	1.0	-9.835548787929914	2.0	-8.86148908735263	1.0	-9.649663062963477	1.0	-11.20928991981715	2.0	-4.91084670307993	3.0	-4.827403765284696	1.0		0.0	-5.525961049469181	2.0	-4.905548453719563	3.0	-6.52723311665423	1.0		0.0	-5.654090995705963	1.0		0.0		0.0		0.0	-0.5766609940917796	2.0		0.0		0.0		0.0	-5.289564529640609	1.0	-8.516914536954985	2.0	-1.90974160243799	1.0		0.0
