run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_62	0.049740342479694624	-4.9353429783881095	2.0	-2.1730076527777173	1.0		0.0	-4.562823094684056	1.0		0.0	-4.696231006875983	2.0		0.0	-5.160192390710923	1.0		0.0	-4.096732141407413	2.0	-4.574674561087762	1.0		0.0	-4.903332915918601	2.0	-0.35297860457878366	1.0	-4.194046087551454	2.0		0.0		0.0	-6.269631981745618	2.0	-9.720821599047103	1.0		0.0	-7.187022947335959	2.0	-5.320197106560394	2.0	-9.88913593931531	1.0
samp_63	0.13883744390245578		0.0	-2.1702589097268525	2.0	-4.811846865562218	1.0		0.0		0.0	-4.710309519612216	1.0	-4.696118811743923	2.0	-5.175931408410508	2.0		0.0	-4.103341040813078	1.0		0.0	-7.797223354911919	2.0	-4.918299546709606	1.0	-0.35314322901005485	2.0		0.0	-4.69391134982689	1.0	-5.26962038378954	1.0	-6.2908443159385605	2.0	-9.762277201067338	1.0		0.0	-7.212529892413901	1.0	-5.3368605330296015	1.0	-9.929371878119817	2.0
samp_64	0.1518095415005946		0.0	-2.16988184097502	1.0	-4.813801536374317	1.0		0.0	-0.592332375940633	1.0	-4.712279934140961	1.0	-4.697987554048693	2.0	-5.178147532356809	1.0		0.0		0.0		0.0	-7.801294672516726	1.0	-4.920399659786461	1.0	-0.35316557855508784	1.0	-4.206778096852704	1.0	-4.6958344846004705	3.0		0.0		0.0	-9.768163692733626	2.0	-10.010898830802015	2.0	-7.216166259850289	4.0	-5.339211830962199	1.0		0.0
samp_65	0.24766397990117092		0.0	-2.167060791669046	1.0	-4.8276921676597695	2.0	-4.5890219128169605	1.0	-0.592324636231749	1.0		0.0	-4.71110204373959	1.0	-5.193946161892059	1.0		0.0		0.0		0.0		0.0	-4.935394501089551	4.0	-0.35330886074183404	1.0	-4.2178017253627	2.0	-4.709522211777841	1.0	-5.289214284284221	2.0	-6.315469848142629	1.0	-9.810531053884844	1.0		0.0	-7.242312908897904	1.0	-5.355994090279345	2.0	-9.976178862857473	1.0
samp_66	0.27480258117520784		0.0	-2.1663245499122743	2.0	-4.8314492755519165	2.0		0.0	-0.5923201339353666	2.0	-4.730139884147655	3.0	-4.714646280385774	1.0		0.0	-1.5149093012189745	2.0		0.0		0.0	-7.838740895238433	2.0		0.0	-0.3533613541664079	1.0		0.0	-4.713217785755061	3.0	-5.293891107491435	1.0		0.0	-9.822142323492079	1.0		0.0	-7.249503218749274	1.0	-5.360556343142113	1.0	-9.987453579397306	1.0
samp_67	-0.05599694320908644		0.0	-2.176417548239689	1.0		0.0	-4.547097979977611	1.0	-0.5923668378110557	1.0	-4.678375003316008	1.0		0.0	-5.140331588648838	3.0		0.0	-4.087920872031595	1.0	-4.5600822779571235	1.0	-7.73341556869207	2.0	-4.884402448625509	1.0	-0.3527508437995127	3.0		0.0	-4.662747378594771	2.0	-5.231141603624253	1.0		0.0	-9.669339575695036	2.0	-9.913265602547567	1.0	-7.155454338140598	1.0		0.0	-9.839194891424802	1.0
samp_68	-0.10077472220428427	-4.908258151420336	2.0	-2.1779240304070253	1.0		0.0	-4.540061409195638	1.0	-0.5923639401796995	1.0		0.0	-4.6585874459054475	2.0	-5.131531123982202	1.0		0.0		0.0	-4.553531073988564	2.0	-7.718064320874142	1.0	-4.876000373051309	1.0	-0.35264092881616504	3.0		0.0	-4.654989150874767	3.0		0.0		0.0	-9.646825171183174	2.0	-9.890993879493289	2.0		0.0		0.0	-9.817344672386088	1.0
samp_69	-0.03805081685390652	-4.919868185203556	1.0		0.0	-4.783325822610136	2.0	-4.549854666210346	2.0	-0.5923653149012384	1.0	-4.681494780649391	1.0	-4.669038543228323	1.0	-5.143794836887677	1.0		0.0	-4.089496638532101	1.0	-4.562646574276217	2.0	-7.739500282089465	3.0	-4.887706527891551	2.0	-0.35279462485756724	1.0		0.0		0.0	-5.234872180171437	1.0		0.0	-9.678248660445808	2.0		0.0	-7.160911104034713	1.0	-5.302875833975948	1.0		0.0
samp_70	0.44694499349976385	-4.994775862672878	1.0		0.0	-4.853543966636147	1.0		0.0		0.0	-4.752536679223419	3.0		0.0	-5.223622669010421	2.0		0.0		0.0		0.0	-7.887631187714702	3.0	-4.963446957222735	1.0	-0.3535770870326139	1.0	-4.238029605135677	1.0	-4.734972038059436	3.0	-5.321695827250929	1.0	-6.356849833930725	1.0	-9.891957281700657	1.0	-10.133005480776944	2.0	-7.292879170303694	2.0		0.0		0.0
samp_71	0.17663049984412077	-4.956170331166129	1.0	-2.1691388179939364	1.0	-4.817493663328807	1.0		0.0	-0.592345681061925	3.0	-4.716017000767821	1.0		0.0	-5.182335644313838	1.0	-1.516661681527219	1.0	-4.105897221959406	1.0		0.0	-7.809016174783767	1.0	-4.9243800185751665	3.0		0.0	-4.2097196347200425	2.0	-4.699472665208705	1.0		0.0	-6.299554909740205	1.0	-9.779337161119697	1.0	-10.021927965180373	2.0	-7.223046633326966	1.0	-5.3436561167241665	1.0		0.0
samp_72	0.3849024517923625	-4.986581697371859	1.0	-2.1633717189345187	3.0		0.0	-4.604870700949839	2.0		0.0	-4.744801934129485	2.0		0.0	-5.2148272557144715	1.0		0.0		0.0		0.0	-7.8704937693687755	1.0	-4.955147908668158	1.0	-0.3535115217238166	1.0	-4.232110903045712	1.0		0.0	-5.312042142003624	2.0	-6.344467564404135	2.0	-9.867570897617938	2.0	-10.108962143311395	1.0	-7.277688498873319	1.0		0.0	-10.031533266803656	2.0
samp_73	0.15033498629506933	-4.952005067020025	1.0		0.0		0.0		0.0	-0.5923542283486288	1.0		0.0	-4.6977571875907636	2.0	-5.177897971136314	3.0	-1.517156655750588	1.0		0.0		0.0	-7.800831255490699	3.0	-4.920168653525139	1.0	-0.3531713151666432	1.0	-4.206605432737642	2.0		0.0		0.0	-6.293509950752508	1.0		0.0	-10.010250663733625	3.0	-7.215753368065943	1.0	-5.3389487356667225	1.0	-9.934442070771485	2.0
samp_74	0.3847378036271217		0.0	-2.1634147108377593	1.0		0.0		0.0	-0.5922914676591945	2.0	-4.744782615701177	1.0	-4.7282583362772295	1.0	-5.214805719571972	1.0	-1.513095791707639	1.0		0.0		0.0	-7.870453907595878	1.0	-4.955125765520723	2.0		0.0	-4.232094238996995	2.0	-4.727447341493184	3.0	-5.312016052484469	3.0		0.0	-9.867495803714386	2.0		0.0	-7.277646858272895	1.0	-5.378223724646241	1.0	-10.0314648014034	1.0
samp_75	-0.0013460786171596599		0.0		0.0	-4.789530984558266	1.0		0.0	-0.5923750100139419	1.0	-4.68775784306478	1.0	-4.674940308734398	1.0	-5.150758868694593	2.0	-1.5201864264082108	2.0	-4.092621451405346	1.0	-4.567779059407393	1.0		0.0	-4.894346576688508	1.0	-0.3528796976899508	1.0		0.0	-4.671912621074404	1.0	-5.24238798887629	1.0	-6.257036763600017	2.0	-9.696252008983961	2.0	-9.939868974042337	1.0	-7.171949101662356	2.0	-5.310225830852116	2.0		0.0
samp_76	0.42290110040947126	-4.9916447544146365	2.0	-2.1623985127486733	1.0		0.0		0.0	-0.5922771280443065	1.0	-4.749584230494081	1.0	-4.7327052333026804	1.0		0.0	-1.5124992535013406	1.0	-4.119832453527111	1.0		0.0		0.0	-4.960266452013607	2.0		0.0		0.0	-4.732108586935132	1.0	-5.318007939521814	5.0	-6.352112918394025	1.0		0.0	-10.123796146270069	2.0	-7.287062702028361	2.0		0.0	-10.046141075332121	2.0
