run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_61	-5.861784095133038	1.8995836451270498	0.03308556782298521	-0.5929018475788393	2.0		0.0		0.0	-10.607324810872205	1.0		0.0	-7.3312966684962095	1.0	-6.474303162914057	1.0	-8.351197158574823	1.0	-3.2112056498417934	4.0	-7.60379402029389	2.0	-3.7234575493718913	2.0	-1.2638786899611625	1.0		0.0		0.0	-4.769732606843586	1.0		0.0	-5.65335290436038	1.0
samp_62	-7.600218908433598	1.518950691642733	0.023460776467019398	-0.5343934808073614	1.0	-9.465901969827158	2.0	-8.663530017969986	2.0	-9.313186149054873	1.0	-8.845462956147584	1.0		0.0	-6.216548589652022	1.0	-7.806101201973115	2.0		0.0	-7.211225522818222	1.0	-3.5429936452636404	1.0	-1.209167627139382	1.0	-6.317121829545856	1.0	-5.046633867061455	1.0	-4.570557610483234	1.0	-3.597145528178157	1.0		0.0
samp_63	-7.0460682958715894	1.8296956927610335	-0.030601087454465912		0.0		0.0	-8.890232227394057	3.0	-9.659080820308958	1.0	-9.08520261409395	2.0		0.0		0.0		0.0	-3.1478485991313114	2.0	-7.3721408257771674	2.0	-3.6567178623022696	1.0	-1.2243088840119314	1.0	-6.4562771929100915	1.0	-5.17408715659335	1.0	-4.694982224451505	2.0		0.0	-5.562975618610346	1.0
samp_64	-5.941260475931195	-13.604007642785115	15.242671548765337		0.0		0.0		0.0	-10.27590459966984	1.0		0.0		0.0	-6.315184097326373	2.0	-8.109267400893753	3.0	-3.1538405922493307	1.0	-7.4028919886449485	1.0	-3.646928713625737	2.0		0.0	-6.421168338166074	1.0	-5.122757144182319	3.0	-4.645397146855929	1.0	-3.706073659108045	1.0	-5.511178106622676	1.0
samp_65	-6.06724928082416	1.4589397944330258	0.19023339340485326	-0.621366654445625	2.0		0.0		0.0	-10.144800408338149	1.0		0.0	-7.150112391259408	1.0		0.0	-8.079462304934736	2.0	-3.0965719586434215	1.0	-7.387053089493412	2.0		0.0		0.0	-6.415462591553116	2.0	-5.113254240954902	2.0	-4.632202835983761	1.0		0.0	-5.50471813083856	3.0
samp_66	-6.580426707838322	2.117622310626182	-0.27209859123679536		0.0		0.0	-9.025295977827266	1.0	-9.923592823796906	1.0		0.0	-7.220557875120786	2.0	-6.388879792450275	1.0		0.0	-3.148837615556077	2.0	-7.435846866195121	1.0		0.0	-1.136340991648666	2.0	-6.49272668538495	1.0	-5.1954747247955115	1.0	-4.7125333255853175	1.0	-3.7116546104472983	2.0	-5.588088138967086	2.0
samp_67	-6.535247221175901	-14.010512507547435	15.873137855654628		0.0		0.0		0.0	-9.965285883567958	1.0		0.0	-7.235287194311087	3.0		0.0		0.0	-3.2699835169999703	3.0		0.0	-3.760350892638718	1.0		0.0	-6.511234892804571	2.0	-5.22933397560331	1.0	-4.755044390458182	2.0	-3.818974834188228	2.0	-5.614719190576053	2.0
samp_68	-6.668744282175377	-13.630062492431707	15.365165403243578		0.0	-9.909991666269937	1.0		0.0	-9.783014087464895	6.0	-9.1328083316032	1.0		0.0	-6.336592347920366	1.0		0.0	-3.2032326517527436	2.0		0.0	-3.694562513059991	1.0		0.0	-6.439222018030021	2.0		0.0		0.0	-3.7532947643599726	2.0	-5.5474499865452565	1.0
samp_69	-7.8638649735208475	1.9018012581808528	-0.27254173998302234		0.0	-9.46975258412523	1.0	-8.688599496014639	2.0	-9.316819526428175	1.0	-8.86776823703942	3.0		0.0	-6.2560238657514935	1.0		0.0		0.0		0.0	-3.5655591545482648	1.0	-1.1128251663828719	1.0	-6.356526132663633	5.0	-5.083473600107173	1.0		0.0	-3.617435416995062	1.0		0.0
samp_70	-7.320567045108671	1.854522608615358	-0.12887486798888043	-0.5116173369794198	1.0	-9.655117331604128	1.0		0.0		0.0	-8.989772738899724	1.0	-7.127795888305716	2.0	-6.311511484620978	1.0	-7.925105204205552	1.0	-3.1094490311798606	1.0	-7.31746526014916	1.0	-3.6175976106717074	1.0	-1.1771516882781667	2.0		0.0		0.0		0.0	-3.6702988992729173	2.0	-5.523172718401955	3.0
