run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5B2_log_P	b5B2_weight	b5C3_log_P	b5C3_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5B9_log_P	b5B9_weight	b5E4_log_P	b5E4_weight	b5F6_log_P	b5F6_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5B3_log_P	b5B3_weight	b5C5_log_P	b5C5_weight	b5F3_log_P	b5F3_weight	b5G9_log_P	b5G9_weight	b5H4_log_P	b5H4_weight	b5G1_log_P	b5G1_weight	b5F8_log_P	b5F8_weight	b5G6_log_P	b5G6_weight	b5G3_log_P	b5G3_weight	b5B5_log_P	b5B5_weight	b5C4_log_P	b5C4_weight	b5C8_log_P	b5C8_weight	b5B7_log_P	b5B7_weight	b5C2_log_P	b5C2_weight	b5C1_log_P	b5C1_weight	b5C9_log_P	b5C9_weight	b5A8_log_P	b5A8_weight	b5C7_log_P	b5C7_weight	b5D5_log_P	b5D5_weight	b5D3_log_P	b5D3_weight	b5D7_log_P	b5D7_weight	b5D2_log_P	b5D2_weight	b5D6_log_P	b5D6_weight	b5D4_log_P	b5D4_weight	b5F7_log_P	b5F7_weight
samp_39	3.310825415676652	-3.8263944403474235	1.0		0.0		0.0		0.0	-6.406871650067346	2.0	-5.85123800714991	4.0		0.0	-1.1217666192835758	2.0		0.0	-4.024758079678737	1.0		0.0	-8.388198977222146	2.0	-1.0686408972462762	3.0	-5.768552901598773	1.0	-2.6109932492264845	1.0	-1.2725197448424395	1.0	-5.4263484107306175	2.0	-20.830012878866697	1.0	-1.478359321361451	1.0		0.0		0.0		0.0		0.0		0.0		0.0	-7.1812379367953785	1.0		0.0		0.0	-9.90444777933749	2.0	-8.881044259642731	3.0	-8.704563010446899	1.0		0.0		0.0	-11.289082396413871	1.0	-7.18454508519402	1.0	-10.282741763071582	2.0	-10.320189766617053	3.0	-11.570663584838899	1.0		0.0		0.0	-1.7582886402180535	4.0
samp_40	3.149905615913984		0.0	-7.768175216312546	1.0	-6.460532521896409	1.0	-2.454562346228017	1.0		0.0		0.0	-3.3757798710267446	1.0	-1.217824352108446	1.0	-4.552363626306602	2.0	-4.087592803238635	2.0	-2.238967599518175	2.0		0.0	-1.1652407634342667	1.0		0.0		0.0	-1.3657775875527394	2.0		0.0	-22.775247802948826	1.0		0.0	-5.019531237610455	1.0	-5.022153302549923	2.0	-5.105402778922467	1.0		0.0	-6.428580686586099	4.0		0.0	-7.141209813013295	2.0	-9.653129551924799	1.0	-8.812448022558133	1.0	-9.909322036075263	2.0	-8.872281456438547	1.0	-8.710746107044438	1.0	-8.244540119738556	2.0	-5.2539019341767474	1.0	-11.31294001190055	1.0		0.0	-10.25061097191678	1.0	-10.33762109852573	1.0	-11.587585608458308	1.0	-23.94729213369632	2.0		0.0	-1.8435763218344945	1.0
samp_41	3.312744103648154	-3.8256545417046977	1.0		0.0		0.0		0.0	-6.406608755623036	1.0		0.0		0.0	-1.1205911235995216	2.0		0.0	-4.024042663690542	1.0		0.0	-8.38800361384008	5.0		0.0	-5.7682193341626	3.0		0.0	-1.2714235081754142	1.0		0.0	-24.2266885758103	1.0		0.0	-4.973263108402624	1.0	-4.97206877123506	1.0	-5.050873043026015	1.0		0.0	-6.425736429239598	1.0	-6.9913408119267055	2.0	-7.181698523024606	2.0	-9.659732865964557	1.0	-8.811383661778347	1.0	-9.904109313731295	2.0		0.0	-8.704489302637784	2.0	-8.259050841755352	1.0		0.0	-11.284293322273623	2.0	-7.1847993129252385	3.0	-10.283144093286083	2.0	-10.320583413900573	1.0		0.0	-25.323159543238578	1.0	-8.016681404772118	1.0	-1.7572837275680733	1.0
samp_42	3.230698231536451		0.0		0.0	-6.4484019072769385	2.0	-2.414128201786338	1.0	-6.418389860836697	2.0	-5.861522246685811	1.0	-3.339799105152835	3.0		0.0		0.0	-4.055845069953328	1.0		0.0	-8.394661350464991	4.0	-1.117193906768249	2.0		0.0	-2.6500208340939464	2.0		0.0		0.0	-18.911529991084517	1.0	-1.5230703048358754	1.0		0.0		0.0	-5.077978979146381	1.0		0.0	-6.4266901793716436	1.0	-7.001977791696145	2.0		0.0		0.0	-8.81192957989452	1.0	-9.907450590528448	2.0	-8.876912853954645	1.0	-8.707473168696938	2.0	-8.251756086587202	1.0	-5.236401150182778	2.0	-11.297838972541394	2.0		0.0		0.0	-10.327412614114522	1.0	-11.560472321803081	2.0	-19.70521542067733	1.0	-8.008984602128322	2.0		0.0
samp_43	3.1949327574760256		0.0	-7.7664152496279515	1.0	-6.453673174918418	1.0	-2.432093860271282	2.0	-6.423844134485695	1.0	-5.8665085762194	1.0	-3.3556824777646206	2.0		0.0	-4.536576462527059	1.0	-4.06987231731137	1.0	-2.2159206411704075	1.0		0.0		0.0	-5.79231369159226	3.0	-2.6675702247435966	3.0	-1.3399558499028388	1.0		0.0		0.0		0.0	-5.006365261100866	1.0	-5.007964124203076	2.0	-5.090052944399336	2.0		0.0	-6.427401395051064	2.0		0.0	-7.152652236810499	1.0	-9.655071495153216	1.0	-8.812121776396262	1.0		0.0	-8.874798586163013	4.0		0.0	-8.248758517515718	2.0		0.0	-11.30466683978802	1.0	-7.168433780001409	2.0		0.0	-10.33344526139013	1.0		0.0	-24.682858334564674	2.0	-8.00558696155249	1.0		0.0
samp_44	3.2754613552681304	-3.8406165098255465	1.0		0.0		0.0		0.0	-6.411850595965709	2.0	-5.855628353864956	1.0		0.0		0.0	-4.508780723019508	2.0	-4.038456501308058	3.0		0.0	-8.391134575602733	1.0		0.0	-5.775593385418524	2.0		0.0	-1.2932548706175615	1.0	-5.431965192049701	2.0	-24.78034066997665	2.0	-1.4981614771680498	2.0	-4.983514462446799	1.0		0.0		0.0	-5.691695769847383	2.0	-6.426038085419167	1.0	-6.9960825579234545	2.0		0.0		0.0	-8.81163614529536	3.0	-9.905455687417742	2.0		0.0		0.0		0.0	-5.227141841047619	1.0	-11.291778411103632	2.0	-7.179572579666816	1.0	-10.276342687799138	2.0	-10.324077895579709	1.0	-11.564186179803748	1.0	-24.855921104751907	2.0		0.0	-1.7771789509767997	1.0
samp_45	3.110709533319113		0.0	-7.769984957081313	2.0	-6.466790808022099	2.0	-2.4741610228036826	1.0		0.0		0.0	-3.393363429103877	1.0		0.0	-4.5663526266245995	1.0	-4.103227273383303	4.0		0.0		0.0	-1.188402774661615	1.0		0.0	-2.708518094139148	3.0	-1.3881801291411133	1.0	-5.461725456444711	1.0	-17.441302026198162	1.0		0.0		0.0	-5.034734983928358	3.0		0.0		0.0		0.0		0.0	-7.131100350996333	2.0	-9.651665540053838	2.0	-8.812574866160835	2.0	-9.910962344216694	2.0	-8.86994213324037	3.0		0.0	-8.240688484245679	2.0		0.0	-11.310426395839189	1.0	-7.156877508637405	1.0	-10.247513491845615	1.0		0.0	-11.609622375028447	1.0	-18.033721614201742	1.0	-7.9973471615176654	1.0	-1.8642002637438184	1.0
samp_46	3.159479095029788	-3.8876560444449386	2.0		0.0		0.0	-2.449792063948028	1.0		0.0	-5.871672535560691	1.0	-3.3715107684314414	1.0	-1.2122019971838933	2.0	-4.54900542857254	2.0		0.0		0.0		0.0		0.0	-5.799962048154335	1.0		0.0		0.0	-5.452278113300214	3.0	-17.87305100716153	3.0	-1.5624160198711563	1.0		0.0		0.0	-5.102125127966337	2.0	-5.716385121763417	1.0	-6.428327041565123	2.0		0.0		0.0		0.0		0.0	-9.908363612850822	1.0	-8.872726534068617	1.0	-8.7104198392697	1.0	-8.24551590631326	1.0	-5.251759489595946	4.0	-11.316074728636627	2.0		0.0	-10.253651885547026	3.0		0.0	-11.576949912760622	2.0		0.0	-8.002170241178279	2.0	-1.8385556475929679	2.0
samp_47	3.2580429930005486	-3.84764205441389	1.0		0.0		0.0		0.0		0.0	-5.857899212092923	1.0		0.0	-1.1536297911673947	1.0		0.0	-4.045207728033382	1.0	-2.1834656425711603	4.0	-8.3924742378593	2.0	-1.100673078944903	2.0		0.0	-2.636803611820785	1.0	-1.303415007289339	1.0	-5.434832834781556	1.0	-20.645950371957035	2.0	-1.5078988971210103	1.0		0.0	-4.988517843120247	2.0		0.0		0.0	-6.426248435908087	2.0	-6.998356886413895	2.0	-7.168502598444813	1.0	-9.657405193607106	1.0		0.0		0.0	-8.87841117930928	1.0	-8.706448849622776	1.0	-8.25426125825319	1.0		0.0	-11.291991525800976	4.0	-7.17723478520445	1.0		0.0	-10.32726824452352	1.0	-11.582836954843991	1.0	-20.60310312715696	1.0	-8.011665331413054	1.0	-1.786460855868588	3.0
samp_48	3.1955868726814307		0.0	-7.7664163485425615	2.0	-6.453579264526246	3.0		0.0		0.0		0.0	-3.3554274368539074	3.0		0.0	-4.536343040457106	3.0	-4.0696184407353035	1.0	-2.215578847204432	2.0		0.0		0.0		0.0	-2.6672394241958672	2.0	-1.3395808200476438	2.0	-5.445634392077003	1.0	-20.686983156586944	1.0		0.0		0.0	-5.007764615291223	2.0		0.0	-5.7084614747595905	2.0		0.0		0.0	-7.152782409015996	1.0	-9.654944490343093	3.0		0.0	-9.908382173626055	2.0		0.0		0.0	-8.248724408881523	2.0		0.0		0.0	-7.168555355906221	1.0	-10.260089875907658	1.0	-10.33354579254976	2.0	-11.578598434215063	2.0	-22.200250973147813	2.0		0.0	-1.8195421510623762	1.0
samp_49	3.3147114260612915	-3.824841769367925	4.0	-7.7619741070761075	2.0		0.0	-2.3719045168539687	2.0		0.0		0.0		0.0	-1.1194271368741897	1.0	-4.495472500439488	1.0	-4.023265843615623	1.0	-2.1541555596930126	1.0	-8.38790982450643	2.0		0.0	-5.76782231826065	1.0		0.0		0.0		0.0	-19.66274360154007	1.0	-1.476182118672323	1.0		0.0		0.0	-5.0502229320300955	2.0	-5.683847259630996	3.0	-6.425726114980296	1.0	-6.991114280702603	1.0	-7.182186061131419	2.0		0.0		0.0	-9.904368653495146	2.0		0.0	-8.704552994835918	1.0	-8.25923200228046	1.0		0.0	-11.27420961575544	1.0		0.0	-10.281920233558841	1.0		0.0	-11.548715088704355	1.0	-21.06082833490552	2.0	-8.016811678352957	3.0	-1.7562245847277715	3.0
samp_50	3.273824049664815		0.0		0.0	-6.442325194236065	2.0		0.0		0.0		0.0	-3.320519794945778	1.0	-1.1441759960958564	3.0	-4.5093307898066435	1.0	-4.039093125553804	2.0	-2.1753129323091343	1.0		0.0	-1.0911351236261388	1.0	-5.775930349231528	3.0	-2.6291081024799374	2.0	-1.294245943559637	2.0		0.0	-21.72466593572999	1.0	-1.4990907927161814	1.0		0.0		0.0	-5.063661052396651	2.0	-5.692005843276746	1.0	-6.426055606339413	2.0	-6.99630498879344	1.0	-7.172265857716293	2.0	-9.657940971403768	1.0	-8.811700482222244	2.0	-9.905738724817239	1.0	-8.879008445813112	1.0		0.0		0.0		0.0		0.0	-7.179393637482731	1.0	-10.2776814385702	1.0	-10.324427579468157	2.0	-11.556462585122045	1.0	-23.065872552395707	2.0	-8.013014259966385	1.0		0.0
samp_51	3.236111493686591		0.0	-7.764801015936168	1.0		0.0	-2.411445515896497	2.0	-6.4175978523951	1.0	-5.860805574535368	1.0	-3.337337070062318	3.0		0.0		0.0	-4.053754868668891	2.0	-2.194767119927011	4.0		0.0	-1.1138712908180048	1.0		0.0		0.0		0.0		0.0	-24.84552907005346	3.0	-1.5200997104715477	2.0	-4.994555754744305	1.0		0.0	-5.076185325131233	1.0	-5.699843164952409	4.0	-6.42657806486331	1.0	-7.001264613189209	1.0	-7.162942037507143	1.0	-9.656867210931255	2.0	-8.81187455473243	3.0		0.0	-8.876963321880686	1.0	-8.707376792508802	1.0		0.0	-5.235212240462534	1.0		0.0		0.0		0.0	-10.327554565168859	2.0		0.0	-24.87485854200667	1.0		0.0	-1.798099360065235	1.0
samp_52	3.1448179834003214	-3.8936438030167686	1.0		0.0		0.0	-2.4571147756486638	2.0		0.0		0.0	-3.378070621376141	2.0	-1.2207884628047312	2.0	-4.5541786273698115	1.0	-4.089618244274592	1.0		0.0	-8.402118287614858	2.0	-1.1682415988840984	2.0		0.0		0.0		0.0	-5.455046409738861	1.0	-21.334698177238057	1.0	-1.5704506099295739	2.0	-5.021039099699336	2.0	-5.023767468334411	2.0		0.0	-5.719654059054109	1.0		0.0	-7.0139299452832855	1.0		0.0	-9.652507404014004	1.0	-8.812473529702585	4.0	-9.909645185009552	1.0	-8.871915305330491	2.0	-8.710995913471985	2.0	-8.243936741055265	1.0	-5.255048035813807	2.0		0.0	-7.161449638854653	2.0	-10.249659106617997	1.0	-10.338008156033629	1.0	-11.58483962405022	1.0		0.0		0.0		0.0
samp_53	3.354620266465135		0.0	-7.760685249151749	4.0	-6.431564556106434	1.0	-2.3517078703246543	3.0	-6.400960937746727	1.0	-5.846158726649142	1.0	-3.2845753054066638	1.0		0.0	-4.482089080487595	1.0		0.0		0.0	-8.384706618605382	1.0	-1.0417527468381267	1.0	-5.760216602720752	1.0	-2.5895212198393316	1.0	-1.2466425650998487	1.0		0.0	-24.460039299186807	1.0	-1.4537177606741634	4.0	-4.961972652387635	1.0	-4.959712981010787	1.0	-5.037282502774268	1.0	-5.676121548853146	2.0		0.0		0.0	-7.191703210963591	1.0		0.0	-8.811271086308091	1.0		0.0	-8.883136121327874	3.0	-8.702817893373588	1.0		0.0	-5.211857769406853	1.0	-11.277923932956247	2.0		0.0		0.0	-10.316152462587297	2.0		0.0		0.0	-8.020468456584977	2.0	-1.7347910449800472	1.0
samp_54	3.4676982223427077	-3.7641763869344005	1.0	-7.757359059023176	1.0	-6.417956593025384	2.0	-2.294276879026941	1.0	-6.386784800758255	1.0	-5.834732672586288	1.0	-3.234501248340917	1.0	-1.0250846718057138	1.0	-4.445230290847017	1.0		0.0	-2.0742741888880984	1.0		0.0		0.0		0.0	-2.533943882016592	1.0	-1.1789350472013584	1.0		0.0		0.0	-1.3891784752361656	1.0	-4.932973897307595	2.0		0.0	-5.001649937919895	3.0	-5.655740843855956	2.0		0.0	-6.973247888420122	1.0	-7.217624428719152	2.0	-9.66546945377049	1.0	-8.81075735779024	2.0	-9.900221680132997	3.0	-8.888690189308504	1.0		0.0		0.0		0.0		0.0	-7.20573719947285	1.0	-10.310993331450886	2.0	-10.30718643672712	2.0	-11.550267544248701	1.0		0.0		0.0	-1.6735965976510843	4.0
samp_55	2.992765726008306	-3.956262020671714	3.0	-7.775742661302509	2.0	-6.486821651395644	1.0	-2.5325030783989817	1.0	-6.458007842304736	1.0	-5.899245802256465	1.0		0.0		0.0	-4.608918536780738	3.0		0.0	-2.3186669452670188	3.0	-8.417006332727274	1.0	-1.2566884589499265	2.0		0.0		0.0	-1.4543624958539298	1.0	-5.486226032729197	1.0	-22.646169244349153	2.0	-1.6528628455563805	1.0		0.0		0.0		0.0		0.0	-6.435535434620979	3.0		0.0	-7.100577264336255	3.0	-9.646305565715167	2.0		0.0	-9.914726287834256	1.0		0.0		0.0	-8.229099588281459	1.0	-5.2914775060500725	1.0	-11.357756880422915	1.0	-7.14043124326165	1.0	-10.213896560672563	1.0	-10.3556117826737	1.0	-11.578387690960623	1.0	-22.811049438654546	1.0		0.0	-1.9253492979666733	1.0
samp_56	3.081069110954576	-3.919794549170629	1.0	-7.771375633619822	1.0	-6.4716147992762005	2.0	-2.488818260967668	1.0	-6.442354961994185	1.0	-5.884005173888275	2.0		0.0	-1.258013008593691	1.0		0.0	-4.114940063164217	1.0	-2.274018918078237	1.0	-8.408090889099176	1.0	-1.2056481439011897	1.0		0.0	-2.722827907703901	1.0	-1.4048795719505804	1.0	-5.467592978420618	2.0		0.0	-1.6052254987628367	1.0	-5.040197243448676	2.0		0.0	-5.12926140475905	1.0	-5.734282057357897	2.0	-6.431124603969543	1.0	-7.023379628499716	1.0	-7.123492645214705	4.0	-9.650071708879135	2.0	-8.813043956005489	1.0	-9.911778818276115	1.0	-8.868155189885472	1.0		0.0	-8.237959654559152	1.0		0.0	-11.326816568441412	1.0		0.0	-10.23548669516566	1.0	-10.346481628368174	2.0		0.0	-21.98846318132083	1.0	-7.994271168869138	1.0		0.0
samp_57	3.329328791717378		0.0	-7.761603691760564	1.0		0.0		0.0	-6.40432982017658	1.0	-5.849057729502877	2.0	-3.295824934810727	1.0	-1.110533810754558	2.0		0.0		0.0	-2.146566021290876	1.0	-8.386758221155201	3.0	-1.0573104713598185	2.0	-5.765014447220894	1.0	-2.6019326846670494	1.0	-1.261623663756731	1.0		0.0		0.0		0.0		0.0	-4.967137314374682	2.0		0.0	-5.680993631776201	2.0		0.0	-6.989287965943353	2.0		0.0	-9.660318519494256	3.0	-8.811250695207413	1.0		0.0		0.0	-8.704013106855772	2.0	-8.260491112295904	2.0	-5.216620488792246	1.0	-11.285133863301668	2.0	-7.187055052849297	1.0	-10.28687554609604	3.0	-10.319673743768979	1.0	-11.568621341803935	1.0		0.0	-8.018111789828092	1.0	-1.748390910288551	1.0
