run	log_tbg	log_alphap	log_betap	b9F9_log_P	b9F9_weight	b9G1_log_P	b9G1_weight	b9G2_log_P	b9G2_weight	b9G3_log_P	b9G3_weight	b9G5_log_P	b9G5_weight	b9G6_log_P	b9G6_weight	b9G8_log_P	b9G8_weight	b9H1_log_P	b9H1_weight	b9H3_log_P	b9H3_weight	b9H4_log_P	b9H4_weight	b9H5_log_P	b9H5_weight	b9H6_log_P	b9H6_weight	b9H7_log_P	b9H7_weight	b9H9_log_P	b9H9_weight	b9I1_log_P	b9I1_weight	b9I2_log_P	b9I2_weight	b17E6_log_P	b17E6_weight
samp_09	-21.973509802075775	0.4202130924118167	0.3755815565823572	-3.2488589032762745	2.0	-5.677749088350021	1.0		0.0	-3.422833176925056	1.0	-7.909755270091749	2.0		0.0		0.0	-7.609183402364304	1.0	-8.802061854567226	2.0	-8.41403233893177	2.0		0.0		0.0	-1.2449578956271532	2.0	-6.507354123244995	1.0	-7.058265772055148	2.0		0.0	-5.752282469089322	1.0
samp_10	-22.8057831885274	0.11424588578765131	0.6153287710596052	-3.2225560424382995	1.0	-5.645180936744853	1.0		0.0		0.0	-7.876700721407641	3.0	-5.815208266960654	1.0	-5.847735711023182	1.0		0.0	-8.768967183741308	1.0	-8.380963949921775	1.0	-7.688802350599791	1.0		0.0	-1.255603191924036	4.0		0.0		0.0	-6.306122172707394	1.0	-5.719853446823947	2.0
samp_11	-22.184608056991976	0.8641808527926942	-0.09828552369646049		0.0	-5.661358394717463	2.0		0.0	-3.3938719641405553	1.0	-7.894656398213086	1.0	-5.831498567573003	4.0		0.0	-7.594015924594072	1.0	-8.787068696174273	1.0	-8.39897474641122	2.0	-7.706661375894708	1.0	-1.6552290376380192	1.0		0.0		0.0	-7.042925821846308	2.0	-6.323250711921265	1.0		0.0
samp_12	-21.6268238071887	-17.09472973021436	17.749226626099986	-3.2069182892523234	2.0		0.0	-5.85977115711866	1.0	-3.3750692461308387	2.0		0.0	-5.779294176045585	2.0	-5.811826102834229	3.0		0.0	-8.731508141373238	1.0		0.0		0.0		0.0	-1.3792354608383375	2.0	-6.437747619431434	2.0	-6.988228457203508	1.0		0.0	-5.684386340744067	1.0
samp_13	-21.736517283183456	1.0751100622309309	-0.25606338326029043		0.0	-5.6871388890049355	2.0		0.0	-3.412585995309751	1.0		0.0	-5.8572904345411265	2.0		0.0	-7.620464337973333	2.0	-8.81359818764485	3.0	-8.425507209310009	1.0	-7.733113597828834	1.0	-1.6449668278773297	1.0		0.0	-6.517935984768045	2.0		0.0	-6.349347540629238	1.0	-5.761291402028679	1.0
samp_14	-22.94547081014822	0.3545660839792319	0.42107516623517505	-3.240335581648707	1.0	-5.667793761670815	1.0	-5.918403241220171	2.0	-3.4140000327921376	1.0	-7.899682778990106	1.0	-5.837838288124493	1.0	-5.870368123400721	2.0	-7.599101333325414	1.0	-8.791994615142695	1.0		0.0		0.0		0.0	-1.2444308732961407	1.0	-6.4973396185934185	2.0	-7.048220985967319	1.0	-6.328939563994103	2.0		0.0
samp_15	-22.044932622469233	-20.819820253030368	21.526456269792416	-3.233999375721736	1.0		0.0	-5.885908786152821	2.0	-3.402008757283479	2.0	-7.865412385796842	2.0		0.0	-5.837966458658399	1.0		0.0	-8.757575983755295	1.0		0.0	-7.677595074170339	2.0		0.0	-1.4106493500240807	1.0	-6.463853726129829	3.0		0.0	-6.295594323064162	1.0	-5.710537661018881	1.0
samp_16	-23.90544580072953	0.7521702799363652	0.1124973880229075	-3.2727277774984063	1.0	-5.711320903236078	2.0		0.0	-3.4487915994285845	1.0	-7.944096025193991	2.0		0.0	-5.913944610720299	1.0	-7.643476367460875	2.0	-8.836468386586867	2.0	-8.448406299460473	1.0		0.0	-1.7328766301007696	1.0	-1.2179479376524174	2.0		0.0	-7.092469373407314	1.0	-6.372933826965986	1.0		0.0
samp_17	-22.01869333198612	0.45953745582045663	0.3648952615557277		0.0	-5.692008972995527	2.0	-5.942626612293101	1.0	-3.4366559141772894	1.0	-7.924098029130162	3.0	-5.862058747743376	1.0		0.0	-7.623478339715185	1.0	-8.816417912520315	2.0	-8.428364166731313	1.0		0.0		0.0	-1.2555365717342704	3.0		0.0	-7.072566761415233	1.0		0.0	-5.766539751393645	1.0
samp_18	-20.29891841920272	-0.29750219455047394	0.91289276954325	-3.17094568930848	1.0	-5.588511569404465	1.0		0.0		0.0	-7.8196492725770215	1.0		0.0	-5.791069963783213	1.0	-7.5190957014825175	1.0		0.0	-8.323909714675839	2.0	-7.6317800275542576	1.0	-1.7094061834426175	1.0	-1.2368565619164418	2.0	-6.417597852794091	2.0		0.0		0.0	-5.663317446757158	4.0
samp_19	-23.695918525834898	-0.10194920091802842	0.7858658287893923		0.0		0.0		0.0		0.0		0.0	-5.792650681344277	3.0		0.0	-7.553327513898391	3.0	-8.746157084248795	1.0	-8.358164424210175	1.0	-7.666020516961768	3.0		0.0	-1.2571624869347338	4.0		0.0		0.0		0.0	-5.6973801501350945	2.0
samp_20	-7.814559164083267	-0.28315124739075964	0.9334992818104816		0.0	-5.6113740945809445	1.0	-5.863772138728414	1.0		0.0		0.0	-5.782610647921787	2.0	-5.815422791494831	2.0	-7.573119907184314	1.0		0.0	-8.430244172346828	2.0	-7.693018468892376	2.0		0.0	-1.2578238670947925	2.0		0.0		0.0	-6.277128538162561	2.0	-5.687083124204971	2.0
samp_21	-22.29928222131059	1.0340579024155774	-0.21988934059637805		0.0		0.0	-5.93569715194174	1.0	-3.411910992372263	1.0	-7.918741904481681	1.0		0.0		0.0	-7.618045989815592	1.0	-8.811176291242365	4.0	-8.423086242002206	1.0	-7.730670430136563	4.0	-1.6505217269360206	3.0		0.0	-6.515550972852445	1.0		0.0		0.0		0.0
samp_22	-22.637918527210847	0.9127639058586431	-0.1561780163380208	-3.20934621599244	2.0	-5.656496650915432	1.0	-5.9072825194198995	1.0		0.0	-7.889965075009233	1.0	-5.826623280636401	2.0		0.0	-7.589317231067718	1.0	-8.782385357156754	1.0	-8.394292474983594	2.0	-7.701976149829334	1.0	-1.6407552487575228	1.0		0.0	-6.486992063800684	2.0	-7.038214692311159	1.0	-6.31847783439224	1.0		0.0
samp_23	-11.372999412145505	0.36348876993791385	0.36682132832320574		0.0	-5.6451893408036415	1.0		0.0		0.0	-7.878430359751133	3.0	-5.815274416713356	1.0		0.0		0.0		0.0	-8.383811348823206	1.0	-7.690356830035968	3.0	-1.7120755073512361	1.0	-1.213627809454444	1.0	-6.47498852200451	2.0	-7.026155318402651	1.0	-6.306522059545778	2.0	-5.7197809205402335	1.0
samp_24	-22.34134944147219	0.6208938212579098	0.07190243408534487		0.0		0.0	-5.876202134120379	1.0	-3.3642422264902834	1.0	-7.858185664391685	1.0	-5.795633671964617	2.0	-5.828161450025382	2.0	-7.557569383224962	1.0	-8.750559148192586	1.0	-8.36246164852256	1.0	-7.670200775066009	1.0	-1.6534329373223424	1.0		0.0		0.0	-7.006573955200884	2.0	-6.287090013585982	1.0	-5.699968590740679	2.0
samp_25	-21.328516695856166	-20.96536434657676	21.639771140628824		0.0	-5.619335076524972	2.0	-5.869751123563796	2.0	-3.3853637514887738	1.0	-7.849286832312528	1.0	-5.789276218409959	2.0	-5.821801173612807	2.0	-7.548776428851914	1.0	-8.741464779764025	1.0	-8.35352089451337	2.0		0.0		0.0	-1.391284735936348	1.0		0.0		0.0		0.0	-5.6943667445569925	2.0
samp_26	-22.415287241605878	0.9917873774315703	-0.2027314355004095	-3.222249548073424	2.0	-5.672453393775603	1.0	-5.923260658704775	2.0		0.0	-7.906183824500472	1.0	-5.842617082044604	1.0		0.0	-7.605526607699039	1.0	-8.79860440341418	2.0		0.0	-7.7181557809487495	2.0	-1.6444373473652525	3.0		0.0	-6.503096187270356	2.0		0.0		0.0		0.0
samp_27	-21.829128295645283	2.122963098411258	-1.2623221609880226	-3.1617207960168567	1.0	-5.6992462794735355	1.0		0.0		0.0		0.0	-5.86989093396144	2.0	-5.902463011509942	2.0		0.0	-8.834068056802744	5.0	-8.445620314016097	1.0		0.0		0.0		0.0	-6.53470468688488	1.0	-7.087718033127377	2.0	-6.365596370480777	2.0		0.0
samp_28	-24.23780135853521	0.44472607338144093	0.27049426155787537	-3.2062304933777774	3.0		0.0	-5.887932190686061	3.0	-3.3806170898550025	2.0		0.0		0.0	-5.8398666461898445	2.0	-7.568863564776297	1.0	-8.76179862876146	1.0		0.0	-7.681498604185246	2.0		0.0		0.0	-6.466978225603904	2.0		0.0	-6.298577655165592	1.0		0.0
samp_29	-6.6525392519498245	0.5614881375967304	0.15192630650616612	-3.2031450109996538	1.0	-5.653524330363194	2.0		0.0	-3.378581217769995	3.0		0.0		0.0	-5.861157621932385	1.0		0.0		0.0	-8.685113634052351	2.0	-7.828478538919397	2.0	-1.6751518322094474	1.0		0.0	-6.506872341804499	2.0		0.0	-6.331536832940474	1.0	-5.731114108979628	2.0
samp_30	-21.542907216855586	0.8718477430639128	-0.09215717024715935		0.0	-5.66826381870424	1.0		0.0	-3.4006765485750474	3.0		0.0		0.0	-5.870920471031078	1.0	-7.6009167494435355	1.0	-8.793968973281533	1.0	-8.405873144967158	1.0	-7.713561723553208	2.0	-1.661861405392601	1.0		0.0	-6.498642951633567	1.0	-7.049821908909584	2.0	-6.3301570760451895	3.0		0.0
samp_31	-18.183358338098643	0.8560971730038773	-0.10404501136171798	-3.2096622638512278	1.0	-5.654461601765635	2.0		0.0		0.0		0.0		0.0	-5.857116156843746	1.0	-7.587089543829726	1.0	-8.78014185830889	1.0	-8.392059098815984	3.0		0.0	-1.6485959149682536	2.0		0.0	-6.484827396551228	1.0	-7.036011295097486	1.0	-6.316330424004033	3.0	-5.728745437539394	1.0
samp_32	-7.267784637031619	0.33233598654078256	0.3866006489204663	-3.212426890903918	1.0		0.0	-5.902776433325537	2.0		0.0	-7.9595111662696665	1.0		0.0	-5.854121199799419	1.0		0.0		0.0	-8.536348348836988	1.0	-7.76167688044566	3.0	-1.709578868764284	1.0	-1.2122339789809637	1.0	-6.490997333968519	2.0	-7.05838398517682	2.0	-6.318902567068683	2.0		0.0
samp_33	-20.621431068071058	0.5069599332411192	0.25786438263711586	-3.2299994217218275	1.0	-5.661988946175022	1.0	-5.9126350317631875	1.0	-3.4046270025721315	1.0	-7.8942396751126225	1.0	-5.832054946721094	1.0		0.0	-7.593638966287216	2.0		0.0		0.0	-7.706303443228137	2.0	-1.7129245380585434	1.0	-1.2079662128500608	1.0	-6.491748335230504	3.0	-7.042709638494064	1.0	-6.323320668734504	1.0		0.0
samp_34	-23.064575213711862	-15.964739152974737	16.635185684530125	-3.2152102349652556	2.0		0.0		0.0	-3.383303867597731	1.0	-7.847301379376214	3.0		0.0	-5.819812966689634	1.0		0.0		0.0	-8.351532605266978	1.0	-7.659492008110269	2.0		0.0		0.0	-6.44571390596927	2.0		0.0	-6.277468894003103	2.0	-5.692403445209216	3.0
samp_35	-21.12988303118979	0.40455088657270594	0.3733978627674162	-3.2400737489740483	2.0		0.0	-5.919456890836772	1.0	-3.4140097935487566	1.0	-7.900833257249469	3.0	-5.838887802410607	2.0		0.0	-7.600240424846174	3.0		0.0	-8.405122297905642	1.0	-7.712907868491422	1.0		0.0	-1.2365435092707737	1.0	-6.498436825936199	1.0	-7.049341295141495	1.0		0.0		0.0
samp_36	-22.048816533121276	0.9571503018761421	-0.17064479916580583		0.0	-5.671334900822411	1.0	-5.922122441703469	1.0		0.0	-7.904929531583299	1.0		0.0	-5.874011620081822	1.0	-7.6042666460565425	2.0	-8.797360069840245	1.0	-8.409254997621625	1.0		0.0	-1.649717882439694	4.0		0.0	-6.501894677672865	1.0	-7.053147242870267	1.0	-6.333366459481882	2.0	-5.745550561459791	1.0
samp_37	-21.76299530430804	0.6052032111008829	0.15856249015253127	-3.2260438168651255	1.0		0.0	-5.911852603248162	1.0	-3.4013465743824653	2.0	-7.8936739619866465	3.0	-5.831270512725852	1.0	-5.863791848780044	1.0		0.0	-8.785998116325608	1.0	-8.397976437675958	2.0		0.0	-1.6976566944885878	2.0	-1.1868462877666899	1.0	-6.491104223895286	1.0	-7.042122539379083	1.0		0.0		0.0
samp_38	-6.885535991975291	0.8823009045625598	-0.07102163207024978	-3.2406467853518937	1.0	-5.698361715635992	1.0		0.0	-3.418237404140365	1.0	-8.051736165917115	1.0		0.0		0.0	-7.715290853975848	2.0		0.0	-8.671368841207567	1.0	-7.849582585532302	3.0	-1.6787837055421004	5.0	-1.1539953966776582	1.0		0.0	-7.124295625803242	1.0		0.0		0.0
samp_39	-22.12676877760115	0.6097011007383416	0.15371883694290095	-3.2256916239617266	1.0		0.0	-5.911671266962303	1.0	-3.401024266455045	1.0	-7.8935089821579405	2.0	-5.831080082650938	1.0	-5.863608550264762	1.0	-7.592890858153071	1.0	-8.785849018121196	1.0		0.0	-7.705550208253112	2.0	-1.6967677933683554	2.0	-1.185620496071843	1.0	-6.490899694633888	2.0	-7.041921561637049	1.0		0.0		0.0
