run	log_tbg	log_alphap	log_betap	b2F3_log_P	b2F3_weight	b2F5_log_P	b2F5_weight	b2F6_log_P	b2F6_weight	b2F7_log_P	b2F7_weight	b2F8_log_P	b2F8_weight	b2F9_log_P	b2F9_weight	b2G2_log_P	b2G2_weight	b2G3_log_P	b2G3_weight	b2G4_log_P	b2G4_weight	b2G5_log_P	b2G5_weight	b2G6_log_P	b2G6_weight	b2G7_log_P	b2G7_weight	b2G8_log_P	b2G8_weight	b2H1_log_P	b2H1_weight	b2H3_log_P	b2H3_weight	b2H4_log_P	b2H4_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2H8_log_P	b2H8_weight	b1I8_log_P	b1I8_weight	b2A1_log_P	b2A1_weight	b2A2_log_P	b2A2_weight	b2A4_log_P	b2A4_weight	b2A5_log_P	b2A5_weight	b2A6_log_P	b2A6_weight	b2A7_log_P	b2A7_weight	b2A8_log_P	b2A8_weight	b2A9_log_P	b2A9_weight	b2B1_log_P	b2B1_weight	b2B2_log_P	b2B2_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight	b2B6_log_P	b2B6_weight	b2B7_log_P	b2B7_weight	b2B9_log_P	b2B9_weight
samp_53	-5.55490189921601	4.67159725418099	0.014144515850734155	-3.9719589375688837	1.0	-2.100522531809662	1.0	-12.363418934297139	3.0	-5.070144210129351	1.0	-5.003635349312403	1.0		0.0	-10.626048516664468	2.0		0.0	-0.587477578403821	1.0		0.0	-5.1350329956333525	2.0		0.0		0.0	-6.679055380504099	3.0		0.0	-6.939388183538084	1.0		0.0	-6.922079758621821	1.0	-4.727717052926031	1.0	-4.911698357883272	2.0	-7.435319113177684	1.0		0.0		0.0	-4.695256499179682	3.0	-8.010850814931302	1.0	-10.424008581991604	2.0		0.0		0.0		0.0		0.0	-0.3497581966353881	2.0	-5.3466691004743145	3.0	-5.026082767509407	1.0	-4.726247309422961	2.0		0.0
samp_54	-5.567635040717939	4.588839166486085	-0.016333244789335667	-3.9558079330446168	1.0	-2.0991558781519313	2.0	-12.243317862398861	1.0	-5.032219749397067	1.0	-4.966523569977721	2.0		0.0		0.0	-5.03299675324187	2.0	-0.5858872394703082	2.0	-6.653094530129945	1.0	-5.095367740308176	2.0	-4.439307169859508	1.0		0.0	-6.616539923775657	1.0		0.0	-6.873603517245569	1.0	-7.7408653316203875	1.0	-6.855981657356604	2.0	-4.693775255581441	1.0		0.0	-7.355134086024113	2.0	-6.4127965322517975	1.0	-5.347362292829454	2.0	-4.663813412608247	2.0	-7.924927896736599	1.0	-10.308609516194341	1.0		0.0	-7.283815207682302	1.0	-4.496788941344713	1.0		0.0	-0.3479656859115909	2.0		0.0	-4.98898538629719	1.0		0.0		0.0
samp_55	-5.514560713241492	4.912483201385573	-0.16805259894249933		0.0	-2.082822853940161	1.0		0.0	-5.046895678711041	3.0		0.0	-11.819603496172995	1.0	-10.691737205796258	3.0	-5.050834195331205	2.0		0.0	-6.737490835897181	1.0		0.0	-4.431484411851931	1.0	-4.757004188809774	1.0		0.0	-1.4698393759270882	2.0		0.0		0.0	-6.947992083102173	3.0	-4.7114877964837145	1.0	-4.891383688890961	2.0	-7.473731860299103	1.0		0.0		0.0		0.0		0.0	-10.489605535508007	3.0		0.0	-7.393267214812301	1.0	-4.50000534652909	2.0		0.0		0.0	-5.337560375478585	3.0	-5.0016405440017255	2.0	-4.704309034254486	1.0	-10.266757452996034	1.0
samp_56	-5.549213246168394	4.779369205859795	-0.031014126878637405		0.0	-2.094653753484768	1.0		0.0	-5.076993514871254	1.0		0.0	-11.81218961697178	1.0	-10.689399309100692	2.0	-5.079195990713522	3.0	-0.5861326120017841	1.0	-6.747368859790458	1.0		0.0	-4.464025317230771	3.0		0.0	-6.7094148281959365	1.0	-1.4776299448818764	1.0	-6.972721493134199	2.0	-7.863984006885925	1.0	-6.955253227354315	2.0	-4.734905080017747	1.0	-4.918563816295108	1.0		0.0	-6.500377985277332	1.0		0.0	-4.697763894045692	1.0	-8.057568209918578	1.0		0.0	-10.634218206586791	2.0		0.0		0.0	-4.317553703302999	1.0	-0.3488170046918079	3.0	-5.360344157685014	2.0		0.0		0.0	-10.264023734914769	2.0
samp_57	-5.511921921591612	4.717687233889599	-0.08340587371627697	-3.9438970173504475	2.0	-2.0912134856806515	1.0	-12.338134720578637	1.0	-5.037670742275681	1.0	-4.972015724249293	2.0		0.0	-10.583139547733607	4.0	-5.039607916676387	1.0	-0.5839251470936919	1.0	-6.6865311328443315	1.0		0.0	-4.435297418315084	1.0	-4.750422843932443	1.0	-6.64922957016771	1.0		0.0	-6.909761488357637	1.0		0.0	-6.8922642473467	1.0		0.0	-4.88127224765767	1.0		0.0	-6.442494805870738	1.0	-5.355378385185059	3.0	-4.664557478687858	1.0	-7.978788044413428	1.0	-10.380985186815503	1.0	-10.528141560197103	2.0	-7.3279970341571765	1.0	-4.497145086902916	1.0	-4.290652159797372	1.0	-0.346522941826878	1.0	-5.316131288104957	1.0		0.0		0.0	-10.156699347650799	1.0
samp_58	-5.55821837363665	4.919067061763398	-0.12524366271818854	-3.941499985713341	3.0	-2.0856986194609064	1.0	-12.469081479226832	1.0	-5.066348429484401	2.0		0.0		0.0		0.0		0.0	-0.583702608566134	1.0	-6.762347158066602	1.0	-5.137234603180514	1.0		0.0	-4.774407099445411	1.0	-6.724809269571764	1.0		0.0		0.0	-7.891369396928911	3.0	-6.973365983388427	1.0	-4.728295058103145	1.0	-4.9096317275246415	2.0		0.0		0.0		0.0	-4.6843539165600605	4.0	-8.087072560733077	1.0	-10.530766665251944	2.0		0.0		0.0	-4.51556828606975	1.0	-4.302812738821105	1.0	-0.34681542076571276	1.0	-5.358200991086574	3.0	-5.020834740852554	2.0	-4.721262707303689	1.0		0.0
samp_59	-5.583543087672161	4.447639388568217	0.11052385608900486	-3.989061850670972	1.0		0.0	-12.219973362921927	2.0		0.0		0.0		0.0		0.0	-5.050514827615181	2.0	-0.5915030415465924	2.0	-6.651999489927149	1.0		0.0	-4.465771667354597	3.0		0.0		0.0		0.0	-6.869873656214257	1.0	-7.73192725970812	2.0		0.0	-4.709453589036407	3.0	-4.893326248201284	3.0	-7.348689761084695	3.0	-6.412975359649792	2.0		0.0	-4.685919022860464	2.0	-7.914643198978269	1.0	-10.291409463502239	1.0		0.0	-7.277678841427577	1.0		0.0	-4.318125439768935	1.0	-0.35273665128476206	1.0		0.0	-5.008612693247123	1.0	-4.7121316380837	2.0		0.0
samp_60	-5.697724093736785	4.7709368564337185	-0.130207416064241	-3.930605681511172	2.0	-2.086258889225006	2.0		0.0		0.0	-4.959661896445883	1.0	-11.66226495134661	3.0		0.0		0.0	-0.5823529163067636	1.0	-6.668282535875284	1.0		0.0	-4.422305109011377	1.0		0.0		0.0	-1.4720838687830269	2.0		0.0	-7.764164701012817	1.0	-6.874310179486704	2.0	-4.690654007048905	1.0	-4.870013147174217	3.0	-7.366172714405417	1.0	-6.428503155450509	2.0	-5.339414586834035	1.0		0.0	-7.9458917772325295	1.0	-10.348748749324816	5.0	-10.49718935716808	1.0		0.0		0.0	-4.2793333590244655	1.0	-0.3452313394675503	1.0		0.0	-4.98039615074141	1.0	-4.686066041838959	1.0		0.0
samp_61	-5.484200720150094	4.950166836777421	-0.13918917705812667		0.0	-2.084668308764598	3.0	-12.531255924185304	1.0		0.0	-5.003631745667522	1.0		0.0	-10.763677683487849	3.0	-5.073656644489442	1.0		0.0	-6.779129646115556	1.0	-5.141215711670554	1.0	-4.447037751215064	3.0	-4.7766002137501085	2.0	-6.740409876930222	2.0		0.0	-7.0087891326836775	2.0		0.0	-6.991300051769316	1.0		0.0		0.0		0.0	-6.527117829577654	1.0		0.0	-4.6859043361924035	3.0		0.0	-10.561548382006668	1.0		0.0		0.0	-4.51688799941788	1.0	-4.30324176202669	1.0	-0.3468322640155028	2.0	-5.363717269478703	2.0	-5.023759925116734	1.0	-4.723497420612753	1.0	-10.340228249443978	1.0
samp_62	-5.442013006252587	4.808245160074837	-0.11013701754641123		0.0	-2.088225835757856	1.0	-12.447329973063303	1.0		0.0	-4.9849433910286045	1.0		0.0		0.0	-5.053533128402485	1.0	-0.5836179135493992	1.0	-6.726240612541272	1.0	-5.118949419556992	3.0	-4.44013066781629	1.0	-4.7610135513061165	3.0	-6.687599245584324	3.0	-1.4733610905236643	1.0		0.0	-7.844100756658348	1.0		0.0	-4.712228629990694	1.0	-4.893900352616738	1.0	-7.463731640572396	1.0		0.0	-5.371747191570549	2.0		0.0	-8.039801352690262	1.0		0.0	-10.604349467864234	1.0	-7.379310599242627	1.0		0.0	-4.29563463367039	1.0		0.0	-5.335309335888851	2.0	-5.006095183542313	3.0	-4.707538209730959	1.0	-10.23541845108444	2.0
