run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
samp_42	-6.680258170574131	3.977030702705188	-0.05158173479175822	-4.608429846189918	1.0		0.0		0.0	-5.165816588758794	1.0		0.0		0.0	-3.076642747539431	1.0		0.0	-0.06007269324106688	1.0	-4.065800439339998	1.0	-2.5574112889621707	1.0	-4.05629038588762	1.0		0.0	-5.817417434423661	1.0		0.0	-11.365056568792003	2.0	-3.8592733969812105	1.0	-1.5807330792021677	3.0	-8.00632974963264	3.0	-4.00271105275773	1.0	-8.596286843402858	4.0		0.0	-7.592577726186899	1.0
samp_43	-6.506277427678948	4.228406794259825	-0.13754426637712946	-4.639559096408142	1.0		0.0	-9.271802762950681	1.0		0.0	-5.0826928096598545	1.0		0.0	-3.0626370035949146	2.0	-4.937010765688759	2.0	-0.057717417183729386	1.0		0.0	-2.550482069298918	1.0	-4.071232967928276	2.0	-6.519312752731717	1.0	-5.886568951353801	1.0	-5.45570845677565	1.0	-11.576143693761967	1.0		0.0	-1.5720517733966974	1.0	-8.125907595993434	5.0	-4.019831835012093	1.0	-8.732607468388846	1.0		0.0		0.0
samp_44	-6.064434804423381	3.793332206103785	0.05358907975298441	-4.6062371184837705	1.0	-10.255769863027567	1.0	-9.181291583458396	3.0		0.0	-5.019552049357728	5.0	-2.414760203387859	1.0	-3.1019659666528723	1.0	-4.878751559222284	2.0		0.0		0.0	-2.574880405250289	1.0		0.0		0.0	-5.800254879625799	1.0		0.0	-11.478289198137022	1.0	-3.8554363891034615	1.0	-1.5960391455948746	1.0	-8.028418630357702	1.0		0.0	-8.626690866617437	1.0		0.0	-7.66183811884515	2.0
samp_45	-7.33094763061312	4.023567351041163	-0.04349280385962502		0.0		0.0	-8.990280013341264	2.0	-5.182706272445912	3.0	-5.049832721054349	1.0	-2.4029509217099543	2.0	-3.080136946292995	1.0	-4.907427063416379	2.0		0.0		0.0	-2.5604423759288726	1.0	-4.067722016187553	1.0	-6.451448759540035	1.0		0.0	-5.413062316157722	2.0	-11.21043410428598	1.0	-3.872074537481294	1.0	-1.5813469560513844	2.0		0.0		0.0		0.0	-10.973725691232119	3.0		0.0
samp_46	-6.398735532615874	3.647244177643464	0.06249818742358387		0.0	-9.964192829309612	2.0	-8.992793054658753	2.0		0.0		0.0	-2.408549698428235	1.0	-3.0928099498156483	1.0		0.0		0.0		0.0	-2.5685821020693056	3.0	-4.025783765995634	2.0		0.0	-5.7303225724884985	1.0		0.0	-11.237936346611772	1.0	-3.817055284271099	2.0	-1.598270633840256	2.0	-7.9050304018215165	2.0	-3.9701104910542937	2.0		0.0	-10.880489049251969	1.0	-7.507512535093027	1.0
samp_47	-6.445857443442226	3.7780323836130787	0.03741486168278478		0.0		0.0	-9.06438378839965	4.0	-5.134737771987499	1.0	-5.001491202784071	2.0	-2.409686948673576	1.0	-3.094247517151532	1.0	-4.861470335980659	3.0		0.0	-4.053181282216361	1.0	-2.5693246114614534	2.0	-4.04895822877013	1.0	-6.393183638711235	1.0		0.0		0.0	-11.325285956333248	2.0		0.0	-1.5934526711398227	1.0		0.0	-3.9937479142746484	2.0		0.0		0.0	-7.564317080909202	1.0
samp_48	-7.05872806706124	3.598874369577258	0.19753432495049617		0.0		0.0		0.0	-5.136846019212012	1.0		0.0	-2.440464423924758	1.0	-3.1378683437162227	1.0	-4.866165421913772	3.0	-0.0809684440184647	1.0	-4.071193968322032	3.0		0.0		0.0	-6.375340321659673	1.0	-5.768471033038509	2.0	-5.354202243688409	1.0	-11.119447021551645	1.0	-3.8575357113800033	3.0	-1.6217181559772555	1.0	-7.903942709096644	1.0		0.0		0.0	-10.862364722232671	1.0	-7.482245286282296	2.0
samp_49	-6.132510631888032	4.056540106596688	0.04755820364906922	-4.684377599959326	1.0	-10.505488002815266	3.0	-9.386276590258419	1.0		0.0		0.0		0.0	-3.1107176790450244	1.0		0.0	-0.06789762960765064	2.0	-4.128572816915471	2.0		0.0	-4.118506526757223	1.0	-6.5502138553606875	1.0	-5.916179151893368	1.0	-5.484778514576244	2.0	-11.699712365263144	1.0	-3.9174294608927975	2.0		0.0	-8.190060902531066	1.0	-4.063691749016719	2.0	-8.804169716182322	1.0	-11.25590828355722	1.0		0.0
samp_50	-7.6186375708457525	3.7978845441813904	0.0544885365276802		0.0		0.0	-8.864882745224241	1.0	-5.143575176530915	2.0		0.0	-2.413616151492988	2.0	-3.099591690495257	1.0	-4.871739221817746	2.0	-0.06686436746510951	1.0	-4.062927426342152	2.0	-2.57351689266964	2.0		0.0	-6.391112021868636	1.0		0.0	-5.3665358322425245	2.0		0.0	-3.8532442058009253	2.0	-1.5952431834220586	2.0		0.0		0.0	-8.462275892337805	1.0	-10.807748405908773	1.0	-7.471113904808249	1.0
samp_51	-5.769988110217974	4.125730631015349	0.03258175904703439		0.0	-10.680587158856323	2.0	-9.519120219915028	1.0	-5.279923173433036	3.0	-5.14142303647375	2.0	-2.422206801020338	1.0		0.0		0.0	-0.0674740181420814	6.0		0.0	-2.581383496892914	1.0	-4.1288733110417075	1.0		0.0		0.0	-5.514608977395873	1.0		0.0		0.0		0.0	-8.289135543098464	1.0	-4.074202503315215	2.0	-8.902091528930834	2.0		0.0		0.0
samp_52	-6.590854982576325	3.5232603046475672	0.13141504083654015		0.0		0.0		0.0	-5.075596051727854	1.0		0.0	-2.41867248432111	2.0		0.0		0.0		0.0	-4.019782796179369	3.0	-2.5799213993843644	2.0		0.0		0.0	-5.705112248550633	2.0	-5.2913742389558625	2.0	-11.126710406321036	2.0	-3.8082584414195018	1.0	-1.611407529913981	2.0		0.0	-3.964682263636567	1.0	-8.433407329945624	2.0		0.0	-7.449160187114586	3.0
samp_53	-6.421935438672341	3.540961634714896	0.2333241122231569	-4.603740064314758	2.0	-10.023175266835706	2.0	-9.038384154725913	1.0	-5.135645729356755	2.0	-5.0022413731123505	1.0		0.0		0.0		0.0		0.0	-4.0721156084729095	2.0	-2.612373781278832	3.0		0.0	-6.378899182140962	1.0		0.0		0.0	-11.292854808196292	1.0	-3.857282607373984	2.0		0.0		0.0	-4.0168461609682735	2.0	-8.530693560208828	2.0	-10.931309356687006	1.0	-7.546948727666442	1.0
samp_54	-6.697353799315226	3.4117729314985006	0.24562756401448427		0.0	-9.758028815328196	1.0	-8.890153419297551	2.0	-5.084513305667254	2.0	-4.952248771718893	2.0	-2.4445189304780977	1.0	-3.1388781070884715	1.0	-4.815827775607996	2.0	-0.08858446987741014	1.0		0.0		0.0	-4.040107543969557	1.0		0.0	-5.7097014672489825	2.0		0.0	-11.096957918774718	1.0	-3.822178279886966	1.0		0.0	-7.850152760859536	1.0	-3.9828029270056167	1.0	-8.42458465990229	1.0	-10.79742306030508	1.0	-7.440305380207938	2.0
samp_55	-6.544151331130707	3.5701729760434864	0.17108532806490295	-4.582781253862642	2.0		0.0	-8.984592858583145	1.0	-5.115462855322307	1.0	-4.982576740725467	1.0	-2.4324394982855417	1.0		0.0	-4.844581563507226	1.0	-0.07841609336591256	1.0	-4.052180408762488	2.0		0.0		0.0	-6.357608341014341	2.0		0.0		0.0	-11.22450059167787	2.0	-3.8391248996337715	1.0	-1.617927615225584	1.0	-7.91126138166937	3.0	-3.9963606793381516	2.0		0.0		0.0	-7.507315540555442	2.0
