run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5H7_log_P	b5H7_weight
samp_75	1.6314579833382248	-3.9138330878773973	1.0	-7.556297983734591	2.0		0.0	-2.6823526218087164	2.0		0.0	-2.280175707201084	1.0
samp_76	1.6467975857007016	-3.9075575694429974	1.0	-7.555152598838799	3.0	-6.593365005735541	2.0		0.0		0.0		0.0
samp_77	1.6911498290509692		0.0	-7.5520973205122415	2.0		0.0	-2.656263093311102	2.0		0.0	-2.2532249264257334	2.0
samp_78	1.6467975857007016	-3.9075575694429974	1.0	-7.555152598838799	3.0	-6.593365005735541	2.0		0.0		0.0		0.0
samp_79	2.288555834806967	-3.634913769261847	1.0	-7.546195649944119	1.0	-6.4209109957571044	2.0		0.0	-6.500648616252242	2.0		0.0
samp_80	1.8226723174573491	-3.8346499440709616	2.0		0.0	-6.541952458811798	1.0		0.0	-6.631086940499366	1.0	-2.1926058358492293	2.0
samp_81	1.7249632142869669		0.0	-7.550018851087735	2.0		0.0		0.0	-6.661035025986696	1.0	-2.2378025923463563	3.0
samp_82	2.3388938606036453		0.0	-7.548385922471712	2.0	-6.409496796745713	1.0	-2.3550057336450045	1.0	-6.488046668686857	2.0		0.0
samp_83	2.0805426234131743	-3.7250886770146923	1.0		0.0	-6.471779172216121	3.0	-2.478956740896982	2.0		0.0		0.0
samp_84	1.6442477408374403	-3.9086026020220404	2.0	-7.555339855305195	1.0		0.0	-2.676786942362346	2.0		0.0	-2.2744287467203197	1.0
samp_85	1.8910156962416493		0.0	-7.542943358605907	2.0	-6.522698656049736	1.0		0.0	-6.610588250600805	1.0	-2.1604446927240444	2.0
samp_86	1.9260066744088788	-3.7910892002368732	1.0	-7.542106504861033	1.0	-6.51300049266878	1.0	-2.55075051687123	1.0	-6.600260958732806	1.0	-2.143801884009642	1.0
samp_87	1.9976784767762044	-3.760597072273474	1.0		0.0	-6.493546580539403	1.0	-2.5176827926627756	2.0	-6.579453836630224	1.0	-2.109359779440571	1.0
samp_88	1.92878013932427		0.0		0.0		0.0	-2.5494783502923735	2.0	-6.599445989740979	1.0	-2.142478068130249	3.0
samp_89	1.5814926734575927	-3.9341876919936096	4.0		0.0	-6.6130293242821345	1.0		0.0		0.0	-2.3024537484955903	1.0
samp_90	1.9260066744088788	-3.7910892002368732	1.0	-7.542106504861033	1.0	-6.51300049266878	1.0	-2.55075051687123	1.0	-6.600260958732806	1.0	-2.143801884009642	1.0
samp_91	1.9450702043110644	-3.7830001162304296	1.0		0.0	-6.507773678804899	3.0		0.0		0.0	-2.134686277002481	2.0
samp_92	1.9889450931931247		0.0	-7.541200174856784	1.0	-6.495891097223688	1.0	-2.5217304771708036	1.0	-6.58195993531283	1.0	-2.113577369399557	2.0
samp_93	2.065868959391603		0.0	-7.54105437867532	1.0	-6.4755736909951676	1.0	-2.4858525420587254	2.0	-6.560128751307564	1.0	-2.076128245107184	1.0
samp_94	2.179508344633866		0.0		0.0	-6.446865362280172	1.0	-2.4320436945005417	1.0	-6.52904514755799	2.0	-2.0197880271472495	2.0
samp_95	1.9260066744088788	-3.7910892002368732	1.0	-7.542106504861033	1.0	-6.51300049266878	1.0	-2.55075051687123	1.0	-6.600260958732806	1.0	-2.143801884009642	1.0
samp_96	2.2350539832161083		0.0	-7.544254952527953	1.0	-6.433440279971351	1.0	-2.405402450330044	1.0	-6.5143978202472175	2.0	-1.9918107050570284	1.0
samp_97	1.6616029716067116	-3.9014854351160375	2.0	-7.554092119913971	2.0	-6.588946370091708	2.0		0.0		0.0		0.0
samp_98	1.7239636186813831	-3.8757728795154858	3.0		0.0	-6.5705072909391005	2.0		0.0		0.0	-2.2382604347592827	1.0
samp_99	1.8725915366709076	-3.813668650860793	1.0		0.0	-6.5278376122197415	1.0		0.0	-6.6160795808415145	1.0	-2.169157688123038	3.0
