run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_30	-19.669138496908634	-2.5107380925120704	3.0	-1.09789864620628	1.0	-4.540200727217405	1.0		0.0	-2.1212011751567585	1.0		0.0	-1.0856327998208626	1.0	-5.00235595959188	1.0
samp_31	-1.2736486182415985	-2.3856267347028197	1.0	-0.9666907510241217	3.0	-4.416922935648291	1.0	-5.107346401375762	1.0	-1.9935294582933574	1.0		0.0	-0.9504986325780778	1.0		0.0
samp_32	-20.368238615902513	-2.510724128488542	1.0	-1.0978469895484133	2.0	-4.540202488674123	1.0		0.0	-2.1212082004930255	1.0	-2.6982488687182	1.0	-1.085623981078541	2.0		0.0
samp_33	-20.467736331098603	-2.5107349344370964	1.0		0.0	-4.540200878727237	2.0		0.0		0.0	-2.6982482180556793	3.0	-1.0856156593372204	2.0		0.0
samp_34	-17.992701192045036	-2.5107590355318807	1.0	-1.0978495528187835	1.0	-4.540218340385607	1.0		0.0	-2.121200354069485	1.0	-2.6982144245637114	1.0	-1.0856294973599352	1.0	-5.002348367162579	2.0
samp_35	-1.3910122901078124	-2.3982030786214836	1.0	-0.9802372904576465	1.0	-4.429161724962668	1.0	-5.119806496059961	1.0	-2.0064338178759424	1.0		0.0	-0.9644547000632273	2.0	-4.8915249525734765	1.0
samp_36	-1.2607331322242574	-2.3841726132597323	2.0	-0.9651428575675163	2.0		0.0	-5.105891565855186	1.0		0.0	-2.571803543818372	1.0	-0.9488410987877418	2.0		0.0
samp_37	-0.4113004402053438		0.0		0.0		0.0	-4.974843938686067	2.0	-1.8525530501057388	2.0	-2.4375279567166857	2.0	-0.793736899158264	1.0	-4.749583175741981	1.0
samp_38	-1.2818028817938647		0.0	-0.9676760507800133	2.0	-4.417810032890839	2.0	-5.108249832015638	1.0	-1.9944678566066822	1.0		0.0	-0.9515129526478547	1.0	-4.880221927226529	1.0
samp_39	-1.112067937765654	-2.3662539181324984	3.0	-0.9456713897349552	1.0	-4.39813664278651	1.0	-5.088239050217086	1.0		0.0	-2.5539587388189764	1.0		0.0	-4.860640437498201	1.0
samp_40	-0.3521630702158197		0.0		0.0	-4.2743174635772165	1.0	-4.962753529764741	2.0	-1.8393353430260944	1.0	-2.4249207151470307	2.0		0.0	-4.737731674216549	2.0
samp_41	-18.285517881807937		0.0	-1.0978435311087502	1.0	-4.540203632070486	2.0		0.0	-2.1212128356355153	3.0	-2.6982525387941374	1.0	-1.0856307690016695	1.0		0.0
samp_42	-18.74690035610978	-2.5107252831275204	2.0	-1.097849408088596	2.0		0.0		0.0		0.0	-2.69824775020141	1.0	-1.085622830259013	1.0	-5.002349692309981	2.0
samp_43	-18.377757864710667	-2.5107299488104893	2.0		0.0	-4.540214336562552	2.0		0.0	-2.121202235230312	1.0		0.0	-1.085622682283379	1.0	-5.002345717135014	2.0
samp_44	-1.3238180540344544	-2.3911503744896474	2.0	-0.9726474814304168	1.0	-4.42229370326285	1.0	-5.112813888399062	1.0	-1.9991986727567328	1.0	-2.5787695380216498	1.0	-0.956638664803462	1.0		0.0
