run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_26	-1.2046129323389616	-5.022522959538263	3.0		0.0	-4.862675259640305	3.0	-4.650103624374239	1.0		0.0	-4.715184553372989	2.0		0.0		0.0	-1.6154764709502396	2.0		0.0	-4.602960339917616	1.0		0.0	-4.731326259587447	2.0		0.0	-5.019907229176491	1.0
samp_27	-1.3544533438979505	-4.9727251789172415	1.0		0.0	-4.8143811034524875	1.0	-4.604329952594714	1.0		0.0	-4.66736062748863	2.0	-4.7838628001378485	2.0		0.0	-1.6252396488863425	2.0	-4.143185185705233	1.0	-4.558341858798793	1.0		0.0	-4.682534730484567	1.0	-0.3518848642116984	2.0	-4.9683347480554865	1.0
samp_28	-1.2963633413473392	-4.992266319683116	2.0		0.0		0.0	-4.62234256665573	1.0	-0.6284933785599677	1.0	-4.686153585340928	1.0	-4.80254726697632	1.0	-5.130750347882926	1.0	-1.6214854789515605	3.0	-4.157905612142086	1.0	-4.575925295678278	1.0	-7.398828189687145	1.0		0.0		0.0	-4.988553460537911	2.0
samp_29	-1.558571719420376	-4.901881627038759	2.0		0.0	-4.745413883700739	2.0	-4.538530524338072	1.0	-0.6329009130972928	4.0		0.0		0.0		0.0	-1.6377516057761907	3.0		0.0	-4.493958341767001	2.0		0.0		0.0		0.0	-4.8952096153589935	1.0
samp_30	-1.167742395313957		0.0		0.0	-4.8742282429454935	2.0	-4.660996030347248	1.0	-0.6262751852067152	1.0	-4.726614829191076	3.0		0.0	-5.17402154322412	2.0	-1.6130500637241525	1.0	-4.188968716617547	1.0		0.0		0.0		0.0	-0.3534759430339969	2.0	-5.032301927657251	2.0
samp_31	-1.6817835398644885	-4.857640024091939	2.0	-2.322217105276294	1.0		0.0	-4.497059690782599	1.0	-0.6347812207443915	1.0	-4.556033128653529	2.0	-4.673168571076618	2.0		0.0	-1.6443978978220826	1.0	-4.052694272762648	1.0	-4.453283943700395	4.0		0.0		0.0		0.0		0.0
samp_32	-1.961542249337045	-4.753793743275085	2.0	-2.3131419254057195	2.0	-4.600420695118483	1.0	-4.3987838183179	1.0	-0.6378345062318244	1.0		0.0		0.0		0.0	-1.655016686629339	2.0	-3.966481398182143	1.0	-4.3566253532711965	2.0		0.0		0.0	-0.34055680386106046	3.0		0.0
samp_33	-1.210304971378299		0.0	-2.3103333540560818	1.0	-4.860867072200205	1.0	-4.648389458219319	2.0	-0.6270015940907987	1.0		0.0	-4.829623953239759	1.0		0.0	-1.6158421554301092	2.0	-4.178937898922156	2.0		0.0	-7.438377636482287	1.0	-4.7295112045619065	2.0		0.0	-5.0179872187050485	2.0
samp_34	-1.11510564436774	-5.051290758383994	1.0	-2.3050236222141907	1.0	-4.890494405372939	1.0		0.0		0.0		0.0	-4.858744528469259	1.0	-5.191304171125762	1.0		0.0	-4.201062855473993	1.0	-4.628475158000987	2.0	-7.481863091691084	4.0	-4.759446857369037	1.0	-0.35382883797556713	1.0	-5.049780695647293	1.0
samp_35	-1.1322232614178012	-5.045846085733336	3.0	-2.306028055905251	1.0		0.0		0.0	-0.6256669383129971	1.0	-4.737500384209325	2.0	-4.853571767986332	1.0	-5.18571053490748	1.0		0.0	-4.197169533604209	1.0	-4.62367264943204	1.0		0.0	-4.754126366835497	1.0		0.0	-5.044122963651914	3.0
samp_36	-1.5126683796388962	-4.918095181445217	1.0	-2.321331257405743	1.0	-4.761220911482705	3.0		0.0	-0.632168167583881	2.0	-4.614641141912864	2.0		0.0		0.0	-1.6350647403071352	2.0	-4.100976375569281	1.0	-4.508775442709268	1.0		0.0	-4.628853260200402	1.0	-0.3500042375954992	1.0		0.0
samp_37	-1.370423168253714	-4.9673023361290225	2.0	-2.317456428896767	2.0	-4.809109220306076	2.0		0.0		0.0	-4.662137645287279	2.0	-4.778666593702794	1.0		0.0	-1.6262477208754682	2.0		0.0	-4.553448617372555	1.0	-7.364620271635267	1.0		0.0	-0.3517215393820117	1.0	-4.962726541510285	1.0
samp_38	-1.3531311498191076		0.0	-2.3168024753517065	1.0	-4.814816946576375	1.0		0.0	-0.6294792472799519	2.0	-4.667793642106211	1.0	-4.784292796630006	1.0	-5.111201515065448	4.0	-1.6251604678440068	1.0		0.0		0.0	-7.3726186874923885	2.0		0.0	-0.35189636619290193	2.0		0.0
samp_39	-1.3096836788417816		0.0	-2.3150631133442943	1.0	-4.829029502769656	1.0	-4.618239167987448	2.0	-0.6287240590778143	1.0		0.0	-4.798289502202132	1.0	-5.126185100013079	2.0	-1.622348453934087	2.0		0.0	-4.571921183834656	1.0	-7.392686415604601	1.0		0.0	-0.3523244016292429	1.0	-4.983944252919761	2.0
samp_40	-0.8999152502973812		0.0	-2.2910138329133383	1.0		0.0	-4.7357144611551885	1.0		0.0		0.0	-4.920998227472597	1.0	-5.259166909580475	2.0	-1.5957902850343832	2.0	-4.246524878240227	1.0		0.0	-7.578592905076138	2.0	-4.8236579305419935	1.0		0.0	-5.118447788139813	4.0
samp_41	-1.2543749717061108		0.0		0.0		0.0	-4.635148329553488	4.0		0.0	-4.699541771456423	2.0		0.0		0.0		0.0	-4.1682848766958145	1.0	-4.588410557543461	4.0		0.0	-4.715355369425951	3.0		0.0	-5.002994747167629	1.0
samp_42	-1.5553043250382368	-4.903042498410075	2.0		0.0	-4.746544204102707	2.0	-4.539606868049134	2.0		0.0		0.0	-4.7169640138716495	1.0		0.0		0.0	-4.089102721390049	4.0		0.0	-7.278776836930574	1.0	-4.614036231953443	1.0	-0.3493969339255778	2.0		0.0
samp_43	-1.230233275658502	-5.014147862976683	1.0		0.0	-4.854567827627655	2.0	-4.6424307934862865	2.0	-0.627350462620815	1.0		0.0	-4.82342821577261	1.0	-5.153177808207887	2.0		0.0	-4.174151686516709	2.0		0.0		0.0	-4.72313504416608	1.0		0.0	-5.011227485100767	3.0
samp_44	-1.423091753560238		0.0	-2.319199427741342	3.0		0.0	-4.582627744112864	2.0		0.0	-4.644764295392111	1.0	-4.761381317036184	1.0	-5.086754879666461	1.0		0.0	-4.125241103850258	3.0		0.0	-7.340218150188038	2.0	-4.659514582201701	1.0		0.0	-4.944106659431012	1.0
samp_45	-1.5042445748611604	-4.921052467324758	1.0		0.0		0.0	-4.556404127327257	2.0	-0.6320252318083058	1.0	-4.61750565724966	1.0		0.0	-5.057934848497913	2.0	-1.6345710608075499	4.0	-4.103287115063723	1.0	-4.511478017460514	1.0	-7.302534816159878	1.0	-4.631767623109707	1.0		0.0		0.0
samp_46	-1.6962843411818753	-4.852359758585315	1.0	-2.3220649470374948	1.0	-4.697039829749133	2.0	-4.492085452692967	4.0	-0.634955261198146	1.0		0.0	-4.668061808076	2.0	-4.987905411601365	2.0		0.0	-4.048407740853279	2.0		0.0		0.0		0.0		0.0		0.0
samp_47	-1.4221757685880492	-4.949585539896524	2.0	-2.319163687440078	1.0		0.0	-4.582921062184024	1.0		0.0		0.0	-4.7616928457619565	1.0		0.0		0.0	-4.1254855655402665	3.0		0.0	-7.3406431739567015	2.0		0.0	-0.35114884754806475	4.0	-4.944423165254757	1.0
samp_48	-1.168805511933092		0.0	-2.3081106599556924	1.0	-4.8738997507480555	5.0	-4.6606866614276985	1.0		0.0		0.0		0.0		0.0	-1.613120537224609	1.0		0.0	-4.613280155341773	2.0	-7.457389624851485	1.0	-4.742672227347123	3.0		0.0	-5.031954523896956	1.0
samp_49	-1.4742521971501426	-4.931539374480916	3.0	-2.320541535501736	2.0		0.0		0.0	-0.6315417475206287	1.0		0.0		0.0	-5.0686351036610855	1.0		0.0	-4.11150074559161	3.0		0.0	-7.316463397379581	2.0		0.0	-0.3505141613246168	2.0	-4.925786642339384	1.0
