run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
samp_13	-6.725352843812019	3.2500367349339103	-0.41228814752565157	-8.851537922792744	2.0	-6.9036248634167015	1.0		0.0	-9.975767646920284	2.0	-7.348434382026815	1.0	-7.782260859073294	1.0		0.0	-5.936710602930039	2.0	-2.8928414917123644	2.0	-5.255793729686868	2.0		0.0		0.0	-12.1488963089207	3.0		0.0		0.0		0.0		0.0		0.0	-8.939388648304414	3.0	-4.585632343041023	1.0
samp_14	-6.546372669383505	2.7555223493576357	-0.005796961264244084	-8.835380500911162	1.0		0.0	-7.435591089943075	2.0	-9.949132531444086	1.0		0.0		0.0	-10.175838393453338	1.0	-5.906261210310409	1.0		0.0	-5.235839101611624	1.0	-4.313690457436422	3.0		0.0	-12.288692791000168	1.0	0.5975940329841875	1.0	-4.632462156966373	3.0	-5.188040488579289	1.0	-4.354451896065822	1.0	-7.308909903262277	1.0	-8.918521724158875	1.0	-4.5783730506577385	1.0
samp_15	-5.84835067939047	3.211620375230643	-0.19110426659871999	-9.29879786600597	2.0	-7.0595148588982095	1.0		0.0		0.0		0.0	-8.009616450294155	2.0		0.0	-6.05704317781532	1.0	-2.9793944628623525	1.0		0.0	-4.409257678987896	2.0		0.0		0.0	0.6370640050627865	2.0	-4.739216175282413	1.0	-5.315940192313992	3.0	-4.4523463564504615	2.0	-7.531433851074413	1.0	-9.333236731505664	1.0	-4.686481279575347	1.0
samp_16	-5.912328834672669	3.0158698334132805	-0.14438579296427653		0.0		0.0	-7.604019826551851	1.0		0.0		0.0	-7.899403934089693	1.0	-10.62234038541851	2.0	-5.98002921553634	1.0	-2.9687047512686098	1.0	-5.296307641777347	1.0		0.0	-11.604297089128295	2.0	-27.12148048953911	1.0	0.6307318880219839	3.0	-4.680200773974334	2.0	-5.24764166558155	1.0	-4.3973034031885945	1.0	-7.4319884406300245	1.0	-9.187949541940716	2.0		0.0
samp_17	-6.5657424200755194	3.0611404741455446	-0.24120373058664601		0.0		0.0	-7.472347345762175	1.0	-9.999350735541787	2.0	-7.3492826343591044	1.0	-7.787008606027094	1.0		0.0		0.0	-2.9326963688843133	1.0		0.0	-4.321131500313946	1.0	-10.88454230507233	1.0	-12.327776365314607	4.0		0.0	-4.644529434172866	2.0		0.0	-4.363285448097875	1.0	-7.345094614385995	1.0	-8.96540644677082	3.0	-4.592823014316229	1.0
samp_18	-6.027074262865234	3.2614489135209284	-0.2602359741124438		0.0		0.0		0.0		0.0	-7.499507861743399	1.0	-7.966395719198518	3.0	-10.683249352812801	4.0		0.0	-2.9567164200073597	1.0	-5.348145457619562	1.0		0.0	-11.601494176801518	1.0	-15.194477857213048	1.0	0.647843132036007	1.0	-4.721861108393597	2.0	-5.299470853597534	2.0		0.0	-7.496789309587083	3.0		0.0		0.0
samp_19	-6.1773660453840336	3.0531707092807934	-0.12685693059758557	-9.095892746720953	1.0		0.0		0.0		0.0	-7.440449501706381	2.0	-7.896593241306078	1.0	-10.532341356346313	1.0		0.0		0.0	-5.318069034825028	3.0	-4.376835176536148	2.0	-11.355612655764661	1.0	-13.430497400146121	2.0	0.6270241275651008	1.0	-4.702021903729587	2.0		0.0	-4.418984233557973	1.0	-7.437204548881257	2.0	-9.156021754310562	1.0		0.0
samp_20	-6.386224910730625	-14.889700777188123	17.572089801057235		0.0		0.0	-7.420418743276582	3.0		0.0		0.0		0.0	-10.189634820971856	1.0	-5.893587215865687	3.0		0.0	-5.241701753098901	1.0		0.0		0.0	-12.518798252318264	1.0		0.0	-4.67106984292482	2.0	-5.193573368060068	2.0	-4.405740787744365	1.0	-7.286534052155168	1.0	-8.909293065390136	3.0	-4.610167261109491	2.0
samp_21	-6.273197671584318	3.0657556665418157	-0.1111311825640042	-9.086544141094732	1.0	-6.991046520450501	1.0		0.0		0.0	-7.448312687060367	1.0	-7.901694312664346	2.0	-10.512694312553215	1.0		0.0		0.0		0.0	-4.38901096574863	1.0	-11.298320317058396	1.0	-13.06738345731489	3.0	0.6238838616213184	2.0		0.0	-5.282199580834084	3.0	-4.431223897557459	2.0	-7.444864074673608	1.0	-9.151254454561789	1.0		0.0
samp_22	-6.731868290904051	3.0704064851304063	-0.11763810843905091		0.0		0.0		0.0	-10.06592033269243	2.0		0.0		0.0	-10.287491461110426	1.0	-6.000832379402206	2.0		0.0		0.0	-4.385201493001554	3.0		0.0		0.0	0.6253815698517052	4.0	-4.709688286605569	1.0	-5.275958299185567	1.0	-4.42738976196761	1.0	-7.408894265929464	3.0	-9.023125242649908	1.0	-4.657280516263928	1.0
