run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
samp_52	-1.6635402785865208	-5.1745389951667375	1.0		0.0		0.0		0.0	-0.6469978883465609	1.0	-4.866198247990344	1.0	-4.933876820149275	1.0	-5.290567031268308	1.0		0.0	-4.2831705923198	2.0		0.0		0.0	-4.832264495436666	2.0	-0.3443362965593986	3.0	-4.121685677282569	3.0	-4.589381869674343	1.0	-5.091046421414705	1.0	-6.1780045655362335	1.0
samp_53	-1.8051958449551424	-5.121098652911851	1.0	-2.430955803444386	1.0	-4.854617699603215	1.0	-4.7347877012151525	1.0	-0.6501534306460378	2.0	-4.814659609085186	1.0	-4.882431854372438	2.0	-5.236245852817909	2.0	-1.7073469647701895	1.0		0.0		0.0		0.0	-4.780355816335759	1.0		0.0		0.0	-4.539099304075119	1.0	-5.037118613118411	2.0	-6.11843732539884	2.0
samp_54	-1.7705875738503436		0.0	-2.43096994869574	1.0		0.0		0.0	-0.6494083965980078	2.0		0.0	-4.895112558402087	1.0	-5.2496082293317246	2.0		0.0	-4.250397332815724	1.0	-4.692298548376444	2.0		0.0		0.0	-0.341951149079269	3.0	-4.08669764058852	1.0		0.0	-5.050386942229663	1.0	-6.133037286309537	4.0
samp_55	-2.2205081985475084	-4.959632471337515	1.0	-2.411103505816997	2.0	-4.697531885461876	1.0	-4.58135382030125	1.0		0.0	-4.657780814295702	2.0		0.0	-5.0726106407703195	4.0	-1.725239828426449	2.0		0.0	-4.52868053722993	1.0		0.0	-4.622469756895055	1.0	-0.32606158339994307	2.0		0.0		0.0	-4.874269880752483	1.0		0.0
samp_56	-2.001679005970385	-5.045445206372982	1.0		0.0	-4.781189813936017	2.0		0.0	-0.6537886840708174	1.0	-4.7413584713140615	1.0		0.0	-5.1594840943030995	4.0	-1.7187570178917675	1.0	-4.176190595436093	3.0		0.0	-7.547934449891861	2.0		0.0		0.0	-4.008067402651003	1.0		0.0	-4.9607933044065415	2.0		0.0
samp_57	-1.803173109662075	-5.121871489180285	1.0	-2.4309849997969817	1.0		0.0	-4.735510448418231	1.0	-0.6501158345550064	1.0	-4.815401021811145	2.0		0.0		0.0	-1.707220694186335	1.0		0.0	-4.680821097239321	2.0	-7.651431693311448	4.0	-4.781106090106765	1.0	-0.34113338787576736	2.0		0.0		0.0		0.0	-6.11929406369216	2.0
samp_58	-2.073378559391386	-5.017467214241931	1.0	-2.4223580390124937	1.0	-4.753966554077614	1.0	-4.636601062035066	2.0		0.0		0.0	-4.782116177310592	3.0	-5.131144093398108	1.0		0.0	-4.152321716388042	1.0	-4.583276640391982	2.0		0.0		0.0	-0.3324965221831946	2.0	-3.9829181644403207	2.0		0.0	-4.932585809662409	1.0	-6.004666320348958	1.0
samp_59	-2.054155837064451	-5.024982923094989	1.0		0.0	-4.761285338407501	2.0	-4.643755967429573	2.0	-0.654557245229972	1.0	-4.721464041647119	1.0		0.0	-5.138755507628317	2.0	-1.7209808486535796	1.0	-4.158757930496308	1.0	-4.590343273081544	3.0		0.0		0.0		0.0		0.0	-4.447782244752583	3.0	-4.9401646579943215	1.0		0.0
samp_60	-1.9872025039496153	-5.0510547627896605	1.0	-2.4268070603816274	2.0	-4.7866632153007345	5.0		0.0	-0.6535634422611095	1.0	-4.746809473856914	1.0	-4.81470030488251	1.0		0.0		0.0	-4.180965115773104	2.0		0.0	-7.555413781251482	1.0	-4.712050675097157	1.0		0.0	-4.013116048067601	1.0	-4.472669342473684	1.0	-4.966458625228517	1.0		0.0
samp_61	-2.3920318621220407	-4.8917040240899965	2.0	-2.3923142327889124	1.0		0.0	-4.51610720277983	1.0	-0.656071877562761	2.0		0.0	-4.659566318061181	2.0	-5.003954476925552	1.0	-1.724674942029668	1.0	-4.042467828302452	2.0	-4.46411655488413	2.0	-7.351054636796032	1.0		0.0	-0.31663901293874686	2.0		0.0	-4.319567097950404	1.0		0.0		0.0
