run	log_tbg	log_alphap	log_betap	b14D6_log_P	b14D6_weight	b14D7_log_P	b14D7_weight	b14D8_log_P	b14D8_weight	b15A2_log_P	b15A2_weight	b15A3_log_P	b15A3_weight	b15A5_log_P	b15A5_weight	b15A6_log_P	b15A6_weight	b15A7_log_P	b15A7_weight	b15A9_log_P	b15A9_weight	b15B1_log_P	b15B1_weight	b15B2_log_P	b15B2_weight	b15B3_log_P	b15B3_weight	b15B4_log_P	b15B4_weight	b15B5_log_P	b15B5_weight	b15B6_log_P	b15B6_weight	b15B7_log_P	b15B7_weight	b15B8_log_P	b15B8_weight	b15B9_log_P	b15B9_weight	b15C1_log_P	b15C1_weight	b15C2_log_P	b15C2_weight	b15C5_log_P	b15C5_weight
samp_61	-5.600478109363797	5.103930138075064	0.19632658534297984	-5.171776902544211	1.0	-5.167932167350806	1.0		0.0	-6.599905673258911	2.0	-5.633976429280159	2.0	-4.182104435246798	1.0	-3.240966100688383	3.0		0.0		0.0	-10.60946431040207	1.0		0.0	-6.907088096838209	2.0		0.0	-4.114373691949621	2.0	-10.284555138576295	2.0	-4.083808131589966	2.0	-6.856731364553495	1.0		0.0		0.0		0.0	-5.200272276718664	1.0
samp_62	-5.344871214992383	5.262781400104845	0.15005490236072874		0.0		0.0	-5.231174656120385	3.0	-6.675027549120634	2.0	-5.673478690395355	2.0		0.0	-3.237304878777153	1.0	-3.6868586772549703	1.0		0.0		0.0		0.0	-7.009569124804943	1.0	-2.551470496331892	1.0		0.0	-10.44311395217478	2.0	-4.090159220594029	3.0	-6.944779016164727	1.0	-10.380402742894182	1.0	-5.7344731194361005	1.0	-7.216919933379733	1.0	-5.231077529992673	1.0
samp_63	-6.090655738969042	4.862763083447847	0.19245137981692612		0.0	-5.09353406457269	1.0		0.0	-6.45542465077695	1.0	-5.537730018649623	2.0		0.0	-3.2352500374350632	3.0	-3.6904848783213238	1.0		0.0	-10.342438798526127	2.0	-7.901067658666945	1.0	-6.728171680924655	3.0	-2.554015630129237	1.0		0.0	-9.88554095019663	1.0	-4.051503233011976	3.0	-6.694859135298875	1.0	-9.919670918196706	1.0		0.0		0.0		0.0
samp_64	-6.316616023029947	4.930197090349929	0.21578972100205845	-5.120741531981301	1.0	-5.117911888667311	2.0		0.0		0.0	-5.565657305715919	2.0	-4.160793866354077	1.0	-3.239321048380867	1.0	-3.695070547785522	1.0		0.0	-10.396463218770977	3.0	-7.927356151625092	1.0	-6.757305429124575	1.0	-2.5556677539501873	2.0		0.0		0.0	-4.064571693199679	3.0		0.0	-9.948643118031297	2.0		0.0	-6.961915794419944	1.0		0.0
samp_65	-5.637293058811461	5.250245084525415	0.2170290603720907	-5.213490218447006	1.0	-5.2082114103776975	1.0		0.0	-6.679104170326225	4.0	-5.686087582047357	1.0	-4.200448072831273	1.0		0.0		0.0		0.0	-10.762140510240318	1.0	-8.275853905587727	2.0		0.0	-2.5552825068559946	1.0		0.0	-10.44977852488604	2.0		0.0	-6.941970389321792	1.0	-10.401118660731443	1.0	-5.745779789181835	2.0		0.0	-5.245525132946241	3.0
samp_66	-6.162832097656261	5.18339565305547	0.11210529665794057	-5.14282168247633	1.0		0.0		0.0	-6.553236215439575	2.0		0.0	-4.162254878846989	2.0	-3.2269390579471793	1.0	-3.6726463350399747	3.0	-6.439514830362163	2.0	-10.555512645389944	1.0		0.0	-6.828120000534494	3.0	-2.546114792622546	1.0		0.0		0.0		0.0	-6.798470891808934	1.0	-10.137579866573894	1.0		0.0		0.0	-5.174844042679524	3.0
samp_67	-5.82628680679187	5.154440357341806	0.12984128719898685	-5.150091390671623	1.0	-5.145166264280269	2.0	-5.181321798349094	1.0	-6.569427225688595	1.0		0.0		0.0	-3.230543859298784	5.0		0.0		0.0	-10.577982473404608	1.0	-8.097170882096217	1.0	-6.86033072076969	1.0	-2.548367684233188	2.0	-4.096343642503153	1.0	-10.215502072098523	1.0	-4.0694071468333	2.0		0.0		0.0		0.0	-7.070366535048895	2.0		0.0
samp_68	-6.061935849163273	4.908565047392672	0.16333721244476404		0.0	-5.093824081341236	1.0	-5.128071800654559	2.0		0.0	-5.539526646080278	1.0		0.0	-3.2311618774302024	2.0	-3.683985821929409	1.0		0.0	-10.36076931784082	1.0		0.0	-6.735826160864215	2.0	-2.55100082687909	2.0	-4.086580686033506	1.0		0.0	-4.049302842562158	2.0		0.0	-9.942353185886407	3.0	-5.597255386264965	1.0	-6.939383229368345	2.0		0.0
samp_69	-5.126967103641215	5.771143762104322	0.004829031311977127		0.0	-5.236635294085416	3.0	-5.278226937941804	3.0	-6.871007480592883	3.0		0.0		0.0		0.0	-3.661183115212128	1.0		0.0		0.0	-8.636916539718596	1.0		0.0	-2.544019018439523	1.0	-4.101684351956169	3.0	-10.834002527216377	1.0	-4.098796665664462	1.0	-7.1752934320484885	1.0		0.0		0.0	-7.486519117664584	1.0	-5.295497318153949	2.0
samp_70	-5.361681476368722	5.334480283079444	0.06624677352236288		0.0	-5.17324548178041	1.0	-5.210938252344709	4.0		0.0		0.0		0.0		0.0	-3.6708008724364696	1.0	-6.538884668391144	1.0		0.0	-8.27689119795393	1.0	-6.987805644453173	1.0		0.0	-4.096395565651828	2.0	-10.427865817611858	2.0		0.0	-6.9270044035313525	2.0	-10.366680090493054	1.0	-5.709303628983833	2.0	-7.198525917036674	2.0	-5.214349886808146	1.0
