name	loc	bas_0.0	ind_250.0	ind_125.0	ind_50.0	ind_25.0	ind_10.0	ind_5.0	ind_2.5	inlier
c61r18.10L04	b2C9	0.0630219670292	11.3734418846	8.72114444626	6.02297529088	4.56898887358	2.79101235012	0.485365103246	0.196103114211	True
c71r18.35L07	b2A2	0.0443462827667	2.07378403806	1.76974585158	1.16988490076	0.883573637284	0.41567138727	0.200323323784	0.072412044851	True
c71r18.35L06	b2A1	0.0347944288985	0.571062473893	0.604804539769	nan	nan	nan	nan	nan	False
c71r18.10L19	b2H3	3.25668090254	11.1745983538	8.7656332882	6.82871295697	5.85098285733	5.17135391661	3.30016018453	2.31941265874	True
61c-oc0	b5E4	4.59013064837	0.215215873285	0.50026099025	nan	nan	nan	nan	nan	True
c71r18.35L11	b2A6	0.012825617608	0.449023393937	0.37469447439	0.287921016771	0.13718446912	0.0859855722634	0.0484674445379	0.0154250274567	True
c71r18.35L10	b2A5	0.120626318842	6.48301762589	5.01721526563	2.12134958547	1.30304133696	0.767558952054	0.203693266504	0.12735707268	True
oc0.35L17	b5G9	0.144311404291	0.00650445452728	0.0158994687314	0.0437431170115	0.0687913502501	0.112676831483	0.139529978912	0.183337528324	True
oc0.35L12	b5G4	0.221271954525	0.0100399581711	0.02098853897	0.0677134496976	0.113808172636	0.174833111265	0.210036813764	0.257185028244	True
c71r18.35L13	b2A8	0.0069387990478	nan	0.0455314736286	nan	nan	nan	nan	nan	True
c71r18.10L15	b2G8	0.101705688627	6.6890406228	4.62373736406	2.26230957928	1.54406967522	0.696750456097	0.240333957461	0.131844077523	True
c61r18.10L02	b2C7	2.0890385554	13.5974585281	11.5361201348	8.8555791575	7.20533239944	6.32520891366	2.89772811455	1.84592330421	True
c71r18.35L04	b1I8	0.109679273288	5.6290388033	4.23817528932	1.9484376422	1.07720347543	0.610770783399	0.165192464502	0.100764808653	True
61c-ocl.35L11	b5C3	0.545477164529	0.0419769275804	0.0880784960217	nan	nan	nan	nan	nan	True
c61ocl	b5A5	0.122677161286	3.29471397624	6.82602593889	nan	nan	nan	nan	nan	False
c61r18.35L13	b1C9	0.013185595999	0.429458913093	0.408810192978	nan	nan	nan	nan	nan	True
c61r18.10L14	b2E1	0.0777104794202	13.8344149851	9.90178944958	6.47543383534	4.44004960632	3.13515556366	0.577036273668	0.240740720033	True
61c-ocl.35L13	b5C5	0.00115609745738	0.00254975716907	0.00415563892097	nan	nan	nan	nan	nan	False
oc0.35L20	b5H3	0.370436194983	0.0166310344622	0.0295045241124	0.116060338294	0.163137994017	0.029736147975	0.0379819432889	0.0484602169274	False
oc0.35L19	b5H2	1.19570892242	0.0546542799899	0.11206454553	0.371361777789	0.629905789307	0.915414181969	1.33394046665	1.31363882679	True
